"country","date","name","actual","consensus","previous","volatility"
"United States","20161108 00:00:00","U.S. Presidential Election","","","","3"
"Russia","20161108 00:00:00","Budget Fulfilment","","","","1"
"United Kingdom","20161108 00:01:00","BRC Like-For-Like Retail Sales (YoY)","","","","2"
"Australia","20161108 00:30:00","National Australia Bank's Business Confidence","","","","1"
"Australia","20161108 00:30:00","National Australia Bank's Business Conditions","","","","1"
"China","20161108 01:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"China","20161108 02:00:00","Exports (YoY)","","","","2"
"China","20161108 02:00:00","Trade Balance USD","","","","2"
"China","20161108 02:00:00","Imports (YoY)","","","","2"
"China","20161108 02:00:00","Trade Balance CNY","","","","2"
"Japan","20161108 05:00:00","Leading Economic Index","","","","1"
"Japan","20161108 05:00:00","Coincident Index","","","","1"
"Switzerland","20161108 06:45:00","Unemployment Rate s.a (MoM)","","","","3"
"Germany","20161108 07:00:00","Industrial Production n.s.a. w.d.a. (YoY)","","","","1"
"Germany","20161108 07:00:00","Industrial Production s.a. (MoM)","","","","1"
"Germany","20161108 07:00:00","Current Account n.s.a.","","","","2"
"Germany","20161108 07:00:00","Trade Balance s.a.","","","","2"
"Germany","20161108 07:00:00","Exports (MoM)","","","","2"
"Germany","20161108 07:00:00","Imports (MoM)","","","","2"
" EUR"","20161108 07:45:00",""Imports","","","","France"
" EUR"","20161108 07:45:00",""Exports","","","","France"
"France","20161108 07:45:00","Trade Balance EUR","","","","1"
"France","20161108 07:45:00","Current Account","","","","1"
"France","20161108 07:45:00","Individual Investment (Current Year)","","","","1"
"France","20161108 07:45:00","Budget","","","","1"
"United Kingdom","20161108 09:30:00","Manufacturing Production (YoY)","","","","1"
"United Kingdom","20161108 09:30:00","Manufacturing Production (MoM)","","","","1"
"United Kingdom","20161108 09:30:00","Industrial Production (YoY)","","","","1"
"United Kingdom","20161108 09:30:00","Industrial Production (MoM)","","","","1"
"United Kingdom","20161108 10:00:00","Inflation Report Hearings","","","","3"
"European Monetary Union","20161108 10:00:00","Inflation Report Hearings","","","","2"
"United States","20161108 11:00:00","NFIB Business Optimism Index","","","","1"
"United States","20161108 11:45:00","Fed's Evans Speech","","","","1"
"Canada","20161108 13:15:00","Housing Starts s.a (YoY)","","","","2"
"Canada","20161108 13:30:00","Building Permits (MoM)","","","","1"
"United States","20161108 13:55:00","Redbook index (MoM)","","","","1"
"United States","20161108 13:55:00","Redbook index (YoY)","","","","1"
"United States","20161108 14:00:00","JOLTS Job Openings","","","","1"
"United States","20161108 15:00:00","JOLTS Job Openings","","","","1"
"United Kingdom","20161108 15:00:00","NIESR GDP Estimate (3M)","","","","3"
"European Monetary Union","20161108 15:00:00","NIESR GDP Estimate (3M)","","","","2"
"United States","20161108 16:20:00","Fed's Evans Speech","","","","1"
"United States","20161108 16:30:00","52-Week Bill auction","","","","1"
"United States","20161108 16:30:00","4-Week Bill Auction","","","","1"
"United States","20161108 18:00:00","3-Year Note Auction","","","","1"
"United States","20161108 21:30:00","API Weekly Crude Oil Stock","","","","1"
"New Zealand","20161108 21:45:00","Electronic Card Retail Sales (YoY)","","","","2"
"New Zealand","20161108 21:45:00","Electronic Card Retail Sales  (MoM)","","","","2"
"Australia","20161108 23:30:00","Westpac Consumer Confidence","","","","2"
"Japan","20161108 23:50:00","Bank lending (YoY)","","","","1"
"Japan","20161108 23:50:00","Current Account n.s.a.","","","","1"
"Japan","20161108 23:50:00","Trade Balance - BOP Basis","","","","1"
