"country","date","name","actual","consensus","previous","volatility"
"Australia","20130506 00:30:00","TD Securities Inflation (YoY)","","","2.100  %","2"
"Australia","20130506 01:30:00","Retail Sales s.a. (MoM)","","0.200  %","1.300  %","2"
"China","20130506 01:45:00","HSBC China Services PMI","",""," 54.300 ","2"
"Italy","20130506 07:43:00","Markit Services PMI",""," 45.800 "," 45.500 ","2"
"Germany","20130506 07:53:00","Markit Services PMI",""," 49.200 "," 50.900 ","2"
"European Monetary Union","20130506 07:58:00","Markit Services PMI",""," 46.600 "," 46.400 ","2"
"European Monetary Union","20130506 07:58:00","Markit PMI Composite",""," 46.500 "," 46.500 ","2"
"European Monetary Union","20130506 08:30:00","Sentix Investor Confidence",""," -15.200 "," -17.300 ","2"
"European Monetary Union","20130506 09:00:00","Retail Sales (YoY)","","-1.900  %","-1.400  %","2"
"European Monetary Union","20130506 09:00:00","Retail Sales (MoM)","","-0.100  %","-0.300  %","2"
"Canada","20130506 12:30:00","Building Permits (MoM)","","0.900  %","1.700  %","1"
"Chile","20130506 12:30:00","IMACEC","","","3.800  %","1"
"Mexico","20130506 13:00:00","Consumer Confidence","",""," 95.400 ","1"
"Mexico","20130506 13:00:00","Consumer Confidence s.a","",""," 94.900 ","1"
"European Monetary Union","20130506 13:00:00","ECB President Draghi's Speech","","","","3"
"Canada","20130506 14:00:00","Ivey Purchasing Managers Index","",""," 64.400 ","2"
"Canada","20130506 14:00:00","Ivey Purchasing Managers Index s.a",""," 58.300 "," 61.600 ","2"
"United States","20130506 15:00:00","Loan Officer Survey","","","","1"
"United States","20130506 15:30:00","3-Month Bill Auction","","","0.050  %","1"
"United States","20130506 15:30:00","6-Month Bill Auction","","","0.080  %","1"
"New Zealand","20130506 22:45:00","Labour cost index (QoQ)","","0.500  %","0.500  %","1"
"New Zealand","20130506 22:45:00","Labour cost index (YoY)","","1.900  %","1.900  %","1"
"United Kingdom","20130506 23:01:00","BRC Shop Price Index (MoM)","","","1.400  %","1"
"Australia","20130506 23:30:00","AiG Performance of Construction Index","",""," 39.000 ","2"
