"country","date","name","actual","consensus","previous","volatility"
"India","20150930 00:00:00",""Mahatma Gandhi Birthday "","","","","0"
"New Zealand","20150930 00:00:00","ANZ Business Confidence","","","","1"
"New Zealand","20150930 00:00:00","ANZ Activity Outlook","","","","1"
"Japan","20150930 01:30:00","Labor Cash Earnings (YoY)","","","","1"
"Australia","20150930 01:30:00","Private Sector Credit (YoY)","","","","2"
"Australia","20150930 01:30:00","Private Sector Credit (MoM)","","","","2"
"Australia","20150930 01:30:00","Building Permits (YoY)","","","","1"
"Australia","20150930 01:30:00","Building Permits (MoM)","","","","1"
"New Zealand","20150930 03:00:00","M3 Money Supply (YoY)","","","","0"
"Japan","20150930 04:00:00","Vehicle Production (YoY)","","","","1"
"Japan","20150930 05:00:00","Housing Starts (YoY)","","","","1"
"Japan","20150930 05:00:00","Construction Orders (YoY)","","","","1"
"Japan","20150930 05:00:00","Annualized Housing Starts","","","","1"
"Germany","20150930 06:00:00","Retail Sales (YoY)","","","","2"
"Germany","20150930 06:00:00","Retail Sales (MoM)","","","","2"
"United Kingdom","20150930 06:00:00","Nationwide Housing Prices n.s.a (YoY)","","","","1"
"United Kingdom","20150930 06:00:00","Nationwide Housing Prices s.a (MoM)","","","","1"
"Switzerland","20150930 06:00:00","UBS Consumption Indicator","","","","2"
"France","20150930 06:45:00","Producer Prices (MoM)","","","","1"
"France","20150930 06:45:00","Consumer Spending (MoM)","","","","1"
"Spain","20150930 07:00:00","Current Account Balance","","","","1"
"Switzerland","20150930 07:00:00","KOF Leading Indicator","","","","2"
"Germany","20150930 07:55:00","Unemployment Change","","","","2"
"Germany","20150930 07:55:00","Unemployment Rate s.a.","","","","2"
"Italy","20150930 08:00:00","Unemployment","","","","2"
"United Kingdom","20150930 08:30:00","Gross Domestic Product (YoY)","","","","2"
"United Kingdom","20150930 08:30:00","Current Account","","","","1"
"United Kingdom","20150930 08:30:00","Total Business Investment (YoY)","","","","1"
"United Kingdom","20150930 08:30:00","Index of Services (3M/3M)","","","","1"
"United Kingdom","20150930 08:30:00","Total Business Investment (QoQ)","","","","1"
"United Kingdom","20150930 08:30:00","Gross Domestic Product (QoQ)","","","","2"
" INR"","20150930 08:30:00",""Federal Fiscal Deficit","","","","India"
"Italy","20150930 09:00:00","Consumer Price Index (EU Norm) (MoM)","","","","1"
"Italy","20150930 09:00:00","Consumer Price Index (EU Norm) (YoY)","","","","1"
"Italy","20150930 09:00:00","Consumer Price Index (MoM)","","","","1"
"Italy","20150930 09:00:00","Consumer Price Index (YoY)","","","","1"
"Greece","20150930 09:00:00","Producer Price Index (YoY)","","","","1"
"Greece","20150930 09:00:00","Retail Sales (YoY)","","","","1"
"European Monetary Union","20150930 09:00:00","Unemployment Rate","","","","2"
"European Monetary Union","20150930 09:00:00","Consumer Price Index - Core (YoY)","","","","3"
"European Monetary Union","20150930 09:00:00","Consumer Price Index (YoY)","","","","3"
"Italy","20150930 10:00:00","Producer Price Index (YoY)","","","","1"
"Italy","20150930 10:00:00","Producer Price Index (MoM)","","","","1"
"United States","20150930 11:00:00","MBA Mortgage Applications","","","","1"
"India","20150930 11:30:00","M3 Money Supply","","","","1"
"United States","20150930 12:00:00","Fed's William Dudley speech","","","","1"
"United States","20150930 12:15:00","ADP Employment Change","","","","2"
"Canada","20150930 12:30:00","Gross Domestic Product (MoM)","","","","2"
"United States","20150930 13:45:00","Chicago Purchasing Managers' Index","","","","2"
"United States","20150930 14:30:00","EIA Crude Oil Stocks change","","","","1"
"United States","20150930 19:00:00","Fed's Yellen Speech","","","","2"
"Australia","20150930 23:30:00","AiG Performance of Mfg Index","","","","2"
"Japan","20150930 23:50:00","Foreign investment in Japan stocks","","","","2"
"Japan","20150930 23:50:00","Foreign bond investment","","","","2"
"Japan","20150930 23:50:00","Tankan Large Manufacturing Outlook","","","","2"
"Japan","20150930 23:50:00","Tankan Large Manufacturing Index","","","","2"
"Japan","20150930 23:50:00","Tankan Non - Manufacturing Outlook","","","","2"
"Japan","20150930 23:50:00","Tankan Large All Industry Capex","","","","2"
"Japan","20150930 23:50:00","Tankan Non - Manufacturing Index","","","","2"
