"country","date","name","actual","consensus","previous","volatility"
"Japan","20121126 01:00:00","BoJ's Governor Shirakawa Speech","","","","2"
"European Monetary Union","20121126 08:00:00","EcoFin Meeting","","","","2"
"Switzerland","20121126 08:15:00","Employment Level (QoQ)",""," 4.088 "," 4.072 ","2"
"Germany","20121126 12:00:00","Gfk Consumer Confidence Survey",""," 6.200 "," 6.300 ","2"
"Turkey","20121126 12:30:00","Capacity Utilization","","","74.900  %","1"
"Turkey","20121126 12:30:00","Manufacturing Confidence","",""," 102.400 ","1"
"United States","20121126 13:30:00","Chicago Fed National Activity Index ",""," 0.180 "," 0.000 ","1"
"Mexico","20121126 14:00:00","Trade Balance s/a, $","","","$ 0.437 ","1"
"Mexico","20121126 14:00:00","Trade Balance, $","","","$ 0.234 ","1"
"United States","20121126 15:30:00","Dallas Fed Manufacturing Business Index",""," 2.000 "," 1.800 ","1"
"New Zealand","20121126 21:45:00","Trade Balance (MoM)","","$ -536.000 ","$ -791.000 ","2"
"New Zealand","20121126 21:45:00","Exports","","$ 3.610 ","$ 3.310 ","1"
"New Zealand","20121126 21:45:00","Imports","","$ 4.170 ","$ 4.100 ","1"
"New Zealand","20121126 21:45:00","Trade Balance (YoY)","","$ -1.230 ","$ -0.890 ","1"
"Japan","20121126 23:50:00","Corporate Service Price (YoY)","","","-0.500  %","1"
