"country","date","name","actual","consensus","previous","volatility"
"Australia","20161110 00:00:00","Consumer Inflation Expectation","","","","2"
"United Kingdom","20161110 00:01:00","RICS Housing Price Balance","","","","2"
"New Zealand","20161110 00:10:00","RBNZ Governor Wheeler Speech","","","","2"
"Australia","20161110 00:30:00","Investment Lending for Homes","","","","2"
"Australia","20161110 00:30:00","Home Loans","","","","2"
"China","20161110 01:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"United States","20161110 02:00:00","FOMC Member Williams speech","","","","1"
"Japan","20161110 06:00:00","Machine Tool Orders (YoY)","","","","1"
"France","20161110 07:45:00","Industrial Output (MoM)","","","","1"
"France","20161110 07:45:00","Nonfarm Payrolls (QoQ)","","","","1"
"Italy","20161110 09:00:00","Industrial Output w.d.a (YoY)","","","","1"
"Italy","20161110 09:00:00","Industrial Output s.a. (MoM)","","","","1"
"Greece","20161110 10:00:00","Consumer Price Index - Harmonized (YoY)","","","","1"
"Greece","20161110 10:00:00","Consumer Price Index (YoY)","","","","1"
"Greece","20161110 10:00:00","Unemployment Rate (MoM)","","","","1"
"Brazil","20161110 11:00:00","Retail Sales (MoM)","","","","1"
"Portugal","20161110 11:00:00","Consumer Price Index (YoY)","","","","1"
"Portugal","20161110 11:00:00","Consumer Price Index (MoM)","","","","1"
"United States","20161110 13:15:00","Fed's Bullard speech","","","","1"
"United States","20161110 13:30:00","Continuing Jobless Claims","","","","2"
"United States","20161110 13:30:00","Initial Jobless Claims","","","","2"
"Canada","20161110 13:30:00","New Housing Price Index (YoY)","","","","1"
"Canada","20161110 13:30:00","New Housing Price Index (MoM)","","","","1"
"United States","20161110 15:30:00","EIA Natural Gas Storage change","","","","1"
"United States","20161110 18:00:00","30-Year Bond Auction","","","","1"
"United States","20161110 19:00:00","Monthly Budget Statement","","","","2"
"New Zealand","20161110 21:45:00","Food Price Index (MoM)","","","","1"
"New Zealand","20161110 23:00:00","Business NZ PMI","","","","2"
"Japan","20161110 23:50:00","Domestic Corporate Goods Price Index (MoM)","","","","1"
"Japan","20161110 23:50:00","Domestic Corporate Goods Price Index (YoY)","","","","1"
