"country","date","name","actual","consensus","previous","volatility"
"China","20171108 02:00:00","Imports (YoY) CNY","","","","2"
"China","20171108 02:00:00","Trade Balance USD","","","","2"
"China","20171108 02:00:00","Exports (YoY) CNY","","","","2"
"China","20171108 02:00:00","Exports (YoY)","","","","2"
"China","20171108 02:00:00","Imports (YoY)","","","","2"
"China","20171108 02:00:00","Trade Balance CNY","","","","2"
"Japan","20171108 05:00:00","Coincident Index","","","","1"
"Japan","20171108 05:00:00","Leading Economic Index","","","","1"
"France","20171108 07:45:00","Trade Balance EUR","","","","1"
" EUR"","20171108 07:45:00",""Imports","","","","France"
" EUR"","20171108 07:45:00",""Exports","","","","France"
"France","20171108 07:45:00","Current Account","","","","1"
"Spain","20171108 08:00:00","Industrial Output Cal Adjusted (YoY)","","","","1"
"European Monetary Union","20171108 08:00:00","Non-monetary policy's ECB meeting","","","","3"
"United Kingdom","20171108 09:00:00","10-y Bond Auction","","","","1"
"Portugal","20171108 11:00:00","Unemployment Rate","","","","1"
"India","20171108 11:30:00","M3 Money Supply","","","","1"
"United States","20171108 12:00:00","MBA Mortgage Applications","","","","1"
"Canada","20171108 13:15:00","Housing Starts s.a (YoY)","","","","2"
"Canada","20171108 13:30:00","Building Permits (MoM)","","","","1"
"United States","20171108 15:30:00","EIA Crude Oil Stocks change","","","","2"
"United States","20171108 18:00:00","10-Year Note Auction","","","","2"
"New Zealand","20171108 20:00:00","RBNZ Rate Statement","","","","3"
"New Zealand","20171108 20:00:00","RBNZ Interest Rate Decision","","","","3"
"New Zealand","20171108 20:00:00",""Monetary Policy Statement "","","","","3"
"New Zealand","20171108 21:00:00","RBNZ Press Conference","","","","3"
"Japan","20171108 23:50:00","Bank lending (YoY)","","","","1"
"Japan","20171108 23:50:00","BOJ Summary of Opinions","","","","1"
"Japan","20171108 23:50:00","Foreign bond investment","","","","2"
"Japan","20171108 23:50:00","Foreign investment in Japan stocks","","","","2"
"Japan","20171108 23:50:00","Current Account n.s.a.","","","","1"
"Japan","20171108 23:50:00","Trade Balance - BOP Basis","","","","1"
"Japan","20171108 23:50:00","Machinery Orders (YoY)","","","","1"
"Japan","20171108 23:50:00","Machinery Orders (MoM)","","","","1"
