"country","date","name","actual","consensus","previous","volatility"
"China","20150918 01:30:00",""House Price Index "","","","","1"
"European Monetary Union","20150918 08:00:00","Current Account n.s.a","","","","1"
"European Monetary Union","20150918 08:00:00","Current Account s.a","","","","1"
" USD"","20150918 11:30:00",""FX Reserves","","","","India"
"India","20150918 11:30:00","Bank Loan Growth","","","","1"
"Canada","20150918 12:30:00","Consumer Price Index (YoY)","","","","3"
"Canada","20150918 12:30:00","Consumer Price Index - Core (MoM)","","","","1"
"Canada","20150918 12:30:00","Bank of Canada Consumer Price Index Core (MoM)","","","","2"
"Canada","20150918 12:30:00","Bank of Canada Consumer Price Index Core (YoY)","","","","3"
"Canada","20150918 12:30:00","Consumer Price Index (MoM)","","","","2"
"United States","20150918 14:00:00","CB Leading Indicator (MoM)","","","","2"
