"country","date","name","actual","consensus","previous","volatility"
"Canada","20170807 00:00:00","August Civic Holiday","","","","0"
"Australia","20170807 01:30:00","ANZ Job Advertisements","","","","1"
"China","20170807 02:00:00","Foreign Exchange Reserves (MoM)","","","","1"
"Japan","20170807 05:00:00","Coincident Index","","","","2"
"Japan","20170807 05:00:00","Leading Economic Index","","","","2"
"Germany","20170807 06:00:00","Industrial Production n.s.a. w.d.a. (YoY)","","","","1"
"Germany","20170807 06:00:00","Industrial Production s.a. (MoM)","","","","1"
"Switzerland","20170807 07:00:00","Foreign Currency Reserves","","","","1"
"Switzerland","20170807 07:15:00","Consumer Price Index (MoM)","","","","2"
"Switzerland","20170807 07:15:00","Consumer Price Index (YoY)","","","","2"
"United Kingdom","20170807 07:30:00","Halifax House Prices (3m/YoY)","","","","1"
"United Kingdom","20170807 07:30:00","Halifax House Prices (MoM)","","","","1"
"European Monetary Union","20170807 08:30:00","Sentix Investor Confidence","","","","1"
"United States","20170807 14:00:00","Labor Market Conditions Index","","","","2"
"United States","20170807 15:00:00","Loan Officer Survey","","","","1"
"United States","20170807 15:30:00","3-Month Bill Auction","","","","1"
"United States","20170807 15:30:00","6-Month Bill Auction","","","","1"
"United States","20170807 17:25:00","FOMC Member Kashkari Speech","","","","2"
"United States","20170807 19:00:00","Consumer Credit Change","","","","2"
"United Kingdom","20170807 23:01:00","BRC Like-For-Like Retail Sales (YoY)","","","","2"
"Japan","20170807 23:50:00","Bank lending (YoY)","","","","1"
"Japan","20170807 23:50:00","Current Account n.s.a.","","","","1"
"Japan","20170807 23:50:00","Trade Balance - BOP Basis","","","","1"
