"country","date","name","actual","consensus","previous","volatility"
"Mexico","20170320 00:00:00","Benito Juarezs Birthday","","","","0"
"Japan","20170320 00:00:00","Vernal Equinox Day","","","","0"
"United Kingdom","20170320 00:01:00","Rightmove House Price Index (MoM)","","","","1"
"United Kingdom","20170320 00:01:00","Rightmove House Price Index (YoY)","","","","1"
"Germany","20170320 07:00:00","Producer Price Index (MoM)","","","","2"
"Germany","20170320 07:00:00","Producer Price Index (YoY)","","","","2"
"European Monetary Union","20170320 10:00:00","Labour cost","","","","2"
"Germany","20170320 11:00:00","German Buba Monthly Report","","","","1"
"Portugal","20170320 11:00:00","Current Account Balance","","","","1"
"United States","20170320 11:30:00",""Chicago Fed National Activity Index "","","","","2"
"India","20170320 11:30:00","Trade Deficit - RBI","","","","1"
"India","20170320 11:30:00","Balance Payment $","","","","1"
"India","20170320 11:30:00","Current Account Balance $","","","","1"
"Canada","20170320 12:30:00","Wholesale Sales (MoM)","","","","1"
"Russia","20170320 13:00:00","Industrial Output","","","","1"
"Australia","20170320 15:30:00","CB Leading Indicator","","","","1"
"United States","20170320 16:30:00","3-Month Bill Auction","","","","1"
"United States","20170320 16:30:00","6-Month Bill Auction","","","","1"
"Germany","20170320 16:45:00","German Buba President Weidmann speech","","","","2"
"United States","20170320 17:10:00","Fed's Evans Speech","","","","1"
"New Zealand","20170320 21:45:00","Visitor Arrivals (YoY)","","","","1"
