"country","date","name","actual","consensus","previous","volatility"
"Japan","20160616 00:00:00",""BoJ Monetary Policy Statement "","","","","3"
"Japan","20160616 00:00:00","BoJ Interest Rate Decision","","","","3"
"Australia","20160616 01:00:00","Consumer Inflation Expectation","","","","2"
"Australia","20160616 01:30:00","New Motor Vehicle Sales (YoY)","","","","1"
"Australia","20160616 01:30:00","New Motor Vehicle Sales (MoM)","","","","1"
"Australia","20160616 01:30:00","RBA Foreign Exchange Transaction","","","","1"
"Australia","20160616 01:30:00","Part-time employment","","","","1"
"Australia","20160616 01:30:00","Employment Change s.a.","","","","3"
"Australia","20160616 01:30:00","Fulltime employment","","","","2"
"Australia","20160616 01:30:00","Unemployment Rate s.a.","","","","3"
"Australia","20160616 01:30:00","Participation Rate","","","","2"
"Australia","20160616 01:30:00","RBA Bulletin","","","","2"
"Australia","20160616 02:30:00","RBA Deputy Governor Lowe Speech","","","","2"
"Switzerland","20160616 04:30:00","SNB Financial Stability Report","","","","2"
"Switzerland","20160616 05:45:00","SECO Economic Forecasts","","","","2"
"Japan","20160616 06:00:00","BoJ Press Conference","","","","3"
"Switzerland","20160616 07:30:00","SNB Interest Rate Decision","","","","3"
"Switzerland","20160616 07:30:00","SNB press conference","","","","3"
"United Kingdom","20160616 08:30:00","Retail Sales ex-Fuel (MoM)","","","","2"
"United Kingdom","20160616 08:30:00","Retail Sales (YoY)","","","","2"
"United Kingdom","20160616 08:30:00","Retail Sales ex-Fuel (YoY)","","","","2"
"United Kingdom","20160616 08:30:00","Retail Sales (MoM)","","","","2"
"Greece","20160616 09:00:00","Unemployment Rate (QoQ)","","","","1"
"European Monetary Union","20160616 09:00:00","Consumer Price Index (YoY)","","","","2"
"European Monetary Union","20160616 09:00:00","Consumer Price Index - Core (MoM)","","","","2"
"European Monetary Union","20160616 09:00:00","Consumer Price Index (MoM)","","","","2"
"European Monetary Union","20160616 09:00:00","Consumer Price Index - Core (YoY)","","","","2"
"European Monetary Union","20160616 09:00:00","Economic Bulletin","","","","2"
"United Kingdom","20160616 11:00:00","BoE Interest Rate Decision","","","","3"
"European Monetary Union","20160616 11:00:00","BoE Interest Rate Decision","","","","2"
"United Kingdom","20160616 11:00:00","BoE Asset Purchase Facility","","","","3"
"European Monetary Union","20160616 11:00:00","BoE Asset Purchase Facility","","","","2"
"United Kingdom","20160616 11:00:00","BOE MPC Vote Unchanged","","","","3"
"European Monetary Union","20160616 11:00:00","BOE MPC Vote Unchanged","","","","2"
"United Kingdom","20160616 11:00:00","BOE MPC Vote Cut","","","","3"
"European Monetary Union","20160616 11:00:00","BOE MPC Vote Cut","","","","2"
"United Kingdom","20160616 11:00:00","BOE MPC Vote Hike","","","","3"
"European Monetary Union","20160616 11:00:00","BOE MPC Vote Hike","","","","2"
"United Kingdom","20160616 11:00:00","Bank of England Minutes","","","","3"
"European Monetary Union","20160616 11:00:00","Bank of England Minutes","","","","2"
"India","20160616 11:30:00","Trade Deficit - RBI","","","","1"
"India","20160616 11:30:00","Current Account Balance $","","","","1"
"European Monetary Union","20160616 12:00:00","Eurogroup meeting","","","","2"
"United States","20160616 12:30:00","Current Account","","","","1"
"United States","20160616 12:30:00","Continuing Jobless Claims","","","","1"
"United States","20160616 12:30:00","Initial Jobless Claims","","","","2"
"United States","20160616 12:30:00","Consumer Price Index Ex Food & Energy (MoM)","","","","2"
"United States","20160616 12:30:00","Consumer Price Index (YoY)","","","","2"
"United States","20160616 12:30:00","Consumer Price Index Ex Food & Energy (YoY)","","","","2"
"United States","20160616 12:30:00","Consumer Price Index n.s.a (MoM)","","","","2"
"United States","20160616 12:30:00","Consumer Price Index (MoM)","","","","2"
"United States","20160616 12:30:00","Consumer Price Index Core s.a","","","","2"
"United States","20160616 12:30:00","Philadelphia Fed Manufacturing Survey","","","","2"
"Canada","20160616 12:30:00","Canadian portfolio investment in foreign securities","","","","1"
"Canada","20160616 12:30:00","Foreign portfolio investment in Canadian securities","","","","1"
"United States","20160616 14:00:00","NAHB Housing Market Index","","","","2"
"United States","20160616 14:30:00","EIA Natural Gas Storage change","","","","1"
"New Zealand","20160616 22:30:00","Business NZ PMI","","","","2"
