"country","date","name","actual","consensus","previous","volatility"
"Australia","20171117 00:30:00","New Motor Vehicle Sales (YoY)","","","","1"
"Australia","20171117 00:30:00","New Motor Vehicle Sales (MoM)","","","","1"
"European Monetary Union","20171117 08:30:00","ECB President Draghi's Speech","","","","3"
"European Monetary Union","20171117 09:00:00","Current Account s.a","","","","1"
"European Monetary Union","20171117 09:00:00","Current Account n.s.a","","","","1"
"European Monetary Union","20171117 10:00:00","Construction Output w.d.a (YoY)","","","","1"
"European Monetary Union","20171117 10:00:00","Construction Output  s.a (MoM)","","","","1"
" USD"","20171117 11:30:00",""FX Reserves","","","","India"
"Germany","20171117 13:00:00","German Buba President Weidmann speech","","","","2"
"United States","20171117 13:30:00","Building Permits (MoM)","","","","2"
"United States","20171117 13:30:00","Housing Starts (MoM)","","","","2"
"United States","20171117 13:30:00","Building Permits Change","","","","2"
"United States","20171117 13:30:00","Housing Starts Change","","","","2"
"Canada","20171117 13:30:00","Consumer Price Index (MoM)","","","","2"
"Canada","20171117 13:30:00","Bank of Canada Consumer Price Index Core (YoY)","","","","2"
"Canada","20171117 13:30:00","Bank of Canada Consumer Price Index Core (MoM)","","","","2"
"Canada","20171117 13:30:00","Consumer Price Index - Core (MoM)","","","","2"
"Canada","20171117 13:30:00","Consumer Price Index (YoY)","","","","2"
"United States","20171117 15:00:00","Kansas Fed manufacturing activity","","","","1"
"United States","20171117 17:00:00","Baker Hughes US Oil Rig Count","","","","2"
"United States","20171117 19:30:00","CFTC Oil NC net positions","","","","1"
"United States","20171117 19:30:00","CFTC Gold NC net positions","","","","1"
"United States","20171117 19:30:00","CFTC USD NC net positions","","","","1"
"United Kingdom","20171117 19:30:00","CFTC GBP NC net positions","","","","1"
"Japan","20171117 19:30:00","CFTC JPY NC net positions","","","","1"
"European Monetary Union","20171117 19:30:00","CFTC EUR NC net positions","","","","1"
"Australia","20171117 19:30:00","CFTC AUD NC net positions","","","","1"
