"country","date","name","actual","consensus","previous","volatility"
"Russia","20120320 00:00:00","Gross Domestic Product Monthly (YoY)","","","","1"
"Japan","20120320 n/a:00","Vernal Equinox Day","","","","0"
"Australia","20120320 00:30:00","RBA Meeting's Minutes","","","","3"
"Greece","20120320 07:00:00","Current Account (YoY)","","","€ -2.200 ","1"
"Germany","20120320 07:00:00","Producer Price Index (YoY)","","3.200  %","3.400  %","3"
"Germany","20120320 07:00:00","Producer Price Index (MoM)","","0.500  %","0.600  %","2"
"Finland","20120320 07:00:00","Unemployment Rate","","","7.500  %","1"
"Hungary","20120320 08:00:00","Gross Wages (YoY)","","","10.100  %","1"
"Switzerland","20120320 08:15:00","Industrial Production (QoQ)","","0.400  %","-1.400  %","2"
"Switzerland","20120320 08:15:00","Industrial Production (YoY)","","-2.000  %","-4.300  %","2"
"Netherlands, The","20120320 08:30:00","Consumer Confidence Adj","",""," -36.000 ","1"
"United Kingdom","20120320 09:30:00","Consumer Price Index (MoM)","","0.500  %","-0.500  %","1"
"United Kingdom","20120320 09:30:00","Consumer Price Index (YoY)","","3.300  %","3.600  %","2"
"United Kingdom","20120320 09:30:00","Core Consumer Price Index (YoY)","","2.400  %","2.600  %","2"
"United Kingdom","20120320 09:30:00","Retail Price Index (MoM)","","0.600  %","-0.600  %","1"
"United Kingdom","20120320 09:30:00","Retail Price Index (YoY)","","3.500  %","3.900  %","2"
"United Kingdom","20120320 11:00:00","CBI Industrial Trends Survey - Orders (MoM)","","-6.000  %","-3.000  %","1"
"United States","20120320 12:30:00","Housing Starts (MoM)",""," 0.700 "," 0.699 ","1"
"United States","20120320 12:30:00","Building Permits (MoM)",""," 0.690 "," 0.676 ","1"
"Poland","20120320 13:00:00","Net Inflation","","","3.100  %","1"
"United States","20120320 16:45:00","Fed's Bernanke Speech","","","","2"
"New Zealand","20120320 21:45:00","Current Account",""," -2.750 "," -4.600 ","2"
"New Zealand","20120320 21:45:00","Visitor Arrivals (YoY)","","","0.500  %","1"
"Australia","20120320 23:50:00","Westpac Leading Index (MoM)","","","0.500  %","1"
