"country","date","name","actual","consensus","previous","volatility"
"Italy","20160617 08:00:00","Trade Balance EU","","","","1"
"Italy","20160617 08:00:00","Global Trade Balance","","","","1"
"European Monetary Union","20160617 08:00:00","Current Account s.a","","","","1"
"European Monetary Union","20160617 08:00:00","Current Account n.s.a","","","","1"
"European Monetary Union","20160617 09:00:00","Labour cost","","","","2"
" USD"","20160617 11:30:00",""FX Reserves","","","","India"
" USD"","20160617 11:30:00",""FX Reserves","","","","India"
"European Monetary Union","20160617 12:00:00","EcoFin Meeting","","","","2"
"United States","20160617 12:30:00","Housing Starts (MoM)","","","","2"
"United States","20160617 12:30:00","Building Permits (MoM)","","","","2"
"Canada","20160617 12:30:00","Bank of Canada Consumer Price Index Core (YoY)","","","","3"
"Canada","20160617 12:30:00","Bank of Canada Consumer Price Index Core (MoM)","","","","2"
"Canada","20160617 12:30:00","Consumer Price Index (YoY)","","","","3"
"Canada","20160617 12:30:00","Consumer Price Index - Core (MoM)","","","","2"
"Canada","20160617 12:30:00","Consumer Price Index (MoM)","","","","2"
"United States","20160617 14:00:00","Reuters/Michigan Consumer Sentiment Index","","","","1"
"European Monetary Union","20160617 15:00:00","ECB President Draghi's Speech","","","","3"
"United States","20160617 17:00:00","Baker Hughes US Oil Rig Count","","","","2"
