"country","date","name","actual","consensus","previous","volatility"
"Switzerland","20170822 06:00:00","Exports (MoM)","","","","1"
"Switzerland","20170822 06:00:00","Trade Balance","","","","1"
"Switzerland","20170822 06:00:00","Imports (MoM)","","","","1"
"United Kingdom","20170822 08:30:00","Public Sector Net Borrowing","","","","2"
"Germany","20170822 09:00:00","ZEW Survey - Current Situation","","","","2"
"Germany","20170822 09:00:00","ZEW Survey - Economic Sentiment","","","","2"
"European Monetary Union","20170822 09:00:00","ZEW Survey - Economic Sentiment","","","","1"
"Spain","20170822 09:30:00","9-Month Letras Auction","","","","1"
"Spain","20170822 09:30:00","3-Month Letras Auction","","","","1"
"United Kingdom","20170822 10:00:00","CBI Industrial Trends Survey - Orders (MoM)","","","","1"
"India","20170822 11:30:00","M3 Money Supply","","","","1"
"Canada","20170822 12:30:00","Retail Sales ex Autos (MoM)","","","","1"
"Canada","20170822 12:30:00","Retail Sales (MoM)","","","","1"
"United States","20170822 12:55:00","Redbook index (YoY)","","","","1"
"United States","20170822 12:55:00","Redbook index (MoM)","","","","1"
"United States","20170822 13:00:00","Housing Price Index (MoM)","","","","2"
"Mexico","20170822 13:00:00","Gross Domestic Product (QoQ)","","","","1"
"Mexico","20170822 13:00:00","Gross Domestic Product (YoY)","","","","1"
"United States","20170822 14:00:00","Richmond Fed Manufacturing Index","","","","1"
"United States","20170822 15:30:00","4-Week Bill Auction","","","","1"
"United States","20170822 20:30:00","API Weekly Crude Oil Stock","","","","1"
