"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20120703 01:00:00","ANZ Commodity Price","-2.400  %","","-4.200  %","1"
"Australia","20120703 01:30:00","Building Permits (MoM)","27.300  %","5.100  %","-7.600  %","1"
"Australia","20120703 01:30:00","Building Permits (YoY)","9.300  %","","-23.000  %","1"
"Japan","20120703 01:30:00","Labor Cash Earnings (YoY)","-0.800  %","","0.200  %","2"
"United States","20120703 04:00:00","Total Vehicle Sales",""," 13.900 "," 17.780 ","1"
"Australia","20120703 04:30:00","RBA Interest Rate Decision","3.500  %","3.500  %","3.500  %","3"
"Australia","20120703 04:30:00","RBA Monetary Policy Statement","","","","3"
"Turkey","20120703 07:00:00","Consumer Price Index (MoM)","","","-0.210  %","1"
"Turkey","20120703 07:00:00","Consumer Price Index (YoY)","","","8.280  %","1"
"United Kingdom","20120703 07:00:00","Halifax House Prices (MoM)","","-0.200  %","0.500  %","1"
"United Kingdom","20120703 07:00:00","Halifax House Prices (3m/YoY)","","-0.800  %","-0.100  %","1"
"Turkey","20120703 07:00:00","Producer Price Index (MoM)","","","0.530  %","1"
"Turkey","20120703 07:00:00","Producer Price Index (YoY)","","","8.060  %","1"
"Hungary","20120703 07:00:00","Trade Balance","","","€ 635.900 ","1"
"United Kingdom","20120703 08:30:00","Consumer Credit","","£ 0.200 ","£ 0.300 ","2"
"United Kingdom","20120703 08:30:00","M4 Money Supply (MoM)","","1.400  %","1.100  %","1"
"United Kingdom","20120703 08:30:00","M4 Money Supply (YoY)","","","-3.800  %","1"
"United Kingdom","20120703 08:30:00","Mortgage Approvals",""," 51.300 "," 51.823 ","2"
"United Kingdom","20120703 08:30:00","Net Lending to Individuals (MoM)","","","£ 1.400 ","1"
"United Kingdom","20120703 08:30:00","PMI Construction",""," 53.100 "," 54.400 ","2"
"Hong Kong SAR","20120703 08:30:00","Retail Sales","","","11.400  %","1"
"European Monetary Union","20120703 09:00:00","Producer Price Index (YoY)","","2.500  %","2.600  %","3"
"European Monetary Union","20120703 09:00:00","Producer Price Index (MoM)","","-0.200  %","0.000  %","2"
"South Africa","20120703 09:00:00","Total New Vehicle Sales","",""," 50,228.000 ","1"
"Brazil","20120703 12:00:00","Industrial Output (MoM)","","","-0.200  %","1"
"Brazil","20120703 12:00:00","Industrial Output (YoY)","","","-2.900  %","1"
"United States","20120703 13:45:00","ISM New York index","","","557.300  %","1"
"United States","20120703 14:00:00","Factory Orders (MoM)","","0.200  %","-0.600  %","2"
"United Kingdom","20120703 23:01:00","BRC Shop Price Index (MoM)","","","1.500  %","1"
"Australia","20120703 23:30:00","AiG Performance of Services Index","",""," 43.500 ","2"
