"country","date","name","actual","consensus","previous","volatility"
"Russia","20160923 00:00:00","Gross Domestic Product Monthly (YoY)","","","","1"
"Japan","20160923 00:30:00","Nikkei Manufacturing PMI","","","","1"
"China","20160923 01:45:00","MNI Business Sentiment Indicator","","","","1"
"Japan","20160923 04:30:00","All Industry Activity Index (MoM)","","","","2"
"France","20160923 05:30:00","Gross Domestic Product (YoY)","","","","1"
"France","20160923 05:30:00","Gross Domestic Product (QoQ)","","","","1"
"France","20160923 07:00:00","Markit Services PMI","","","","1"
"France","20160923 07:00:00","Markit Manufacturing PMI","","","","1"
"France","20160923 07:00:00","Markit PMI Composite","","","","1"
"Germany","20160923 07:30:00","Markit PMI Composite","","","","2"
"Germany","20160923 07:30:00","Markit Services PMI","","","","2"
"Germany","20160923 07:30:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20160923 08:00:00","Markit Services PMI","","","","2"
"European Monetary Union","20160923 08:00:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20160923 08:00:00","Markit PMI Composite","","","","2"
" USD"","20160923 11:30:00",""FX Reserves","","","","India"
"Canada","20160923 12:30:00","Retail Sales ex Autos (MoM)","","","","1"
"Canada","20160923 12:30:00","Retail Sales (MoM)","","","","2"
"Canada","20160923 12:30:00","Consumer Price Index (YoY)","","","","3"
"Canada","20160923 12:30:00","Consumer Price Index - Core (MoM)","","","","1"
"Canada","20160923 12:30:00","Bank of Canada Consumer Price Index Core (YoY)","","","","1"
"Canada","20160923 12:30:00","Bank of Canada Consumer Price Index Core (MoM)","","","","1"
"Canada","20160923 12:30:00","Consumer Price Index (MoM)","","","","2"
"Mexico","20160923 13:00:00","Retail Sales (YoY)","","","","1"
"Mexico","20160923 13:00:00","Retail Sales (MoM)","","","","1"
"United States","20160923 13:45:00","Markit Manufacturing PMI","","","","2"
"United States","20160923 17:00:00","Baker Hughes US Oil Rig Count","","","","2"
"United States","20160923 19:30:00","CFTC Gold NC net positions","","","","1"
"United States","20160923 19:30:00","CFTC USD NC net positions","","","","1"
"United States","20160923 19:30:00","CFTC Oil NC net positions","","","","1"
"United Kingdom","20160923 19:30:00","CFTC GBP NC net positions","","","","1"
"Japan","20160923 19:30:00","CFTC JPY NC net positions","","","","1"
"European Monetary Union","20160923 19:30:00","CFTC EUR NC net positions","","","","1"
"Australia","20160923 19:30:00","CFTC AUD NC net positions","","","","1"
