"country","date","name","actual","consensus","previous","volatility"
"Australia","20120711 00:30:00","Westpac Consumer Confidence","3.700  %","","0.300  %","1"
"Australia","20120711 01:30:00","Home Loans","-1.200  %","0.700  %","0.500  %","2"
"Australia","20120711 01:30:00","Investment Lending for Homes","-4.600  %","","1.700  %","1"
"Korea, Republic of","20120711 03:00:00","Money Supply Growth"," 9.200 ",""," 8.600 ","1"
"Germany","20120711 06:00:00","Consumer Price Index (YoY)","","1.700  %","1.900  %","3"
"Germany","20120711 06:00:00","Consumer Price Index (MoM)","","-0.100  %","-0.200  %","2"
"Germany","20120711 06:00:00","Harmonised Index of Consumer Prices (MoM)","","-0.200  %","-0.200  %","2"
"Germany","20120711 06:00:00","Harmonised Index of Consumer Prices (YoY)","","2.000  %","2.200  %","3"
"Japan","20120711 06:00:00","Machine Tool Orders (YoY)","","","0.400  %","2"
"France","20120711 06:45:00","Current Account","","","€ -4.200 ","1"
"Czech Republic","20120711 07:00:00","Consumer Price Index (MoM)","","","0.200  %","1"
"Hungary","20120711 07:00:00","Consumer Price Index (YoY)","","","5.300  %","1"
"Czech Republic","20120711 07:00:00","Consumer Price Index (YoY)","","","3.200  %","1"
"Hungary","20120711 07:00:00","Core Consumer Price Index (YoY)","","","4.800  %","1"
"Turkey","20120711 07:00:00","Current Account Balance","","","$ -4.960 ","1"
"Czech Republic","20120711 07:00:00","Unemployment Rate","","","8.200  %","1"
"Portugal","20120711 09:00:00","Consumer Price Index (MoM)","","","-0.400  %","1"
"Portugal","20120711 09:00:00","Consumer Price Index (YoY)","","","2.700  %","1"
"Germany","20120711 09:00:00","German 10-y Bond Auction","","","1.520  %","2"
"South Africa","20120711 09:30:00","Business Confidence Index","",""," 92.800 ","1"
"United States","20120711 11:00:00","MBA Mortgage Applications","","","-6.700  %","1"
"India","20120711 11:30:00","M3 Money Supply","","","13.800  %","1"
"Brazil","20120711 12:00:00","Retail Sales","","","0.800  %","1"
"Canada","20120711 12:30:00","International Merchandise Trade","","$ -0.380 ","$ -0.370 ","1"
"United States","20120711 12:30:00","Trade Balance","","$ -48.400 ","$ -50.060 ","2"
"United States","20120711 14:00:00","Wholesale Inventories","","0.300  %","0.600  %","1"
"United States","20120711 14:30:00","EIA Crude Oil Stocks change",""," -1.100 "," -4.270 ","1"
"United States","20120711 17:00:00","10-Year Note Auction","","","1.622  %","2"
"United States","20120711 18:00:00","FOMC Minutes","","","","3"
"Brazil","20120711 18:00:00","Interest Rate Decision","","","","1"
"New Zealand","20120711 21:30:00","Business NZ PMI","",""," 55.700 ","2"
"New Zealand","20120711 22:45:00","Food Price Index (MoM)","","","0.300  %","1"
"Japan","20120711 23:50:00","Foreign bond investment","","","¥ 1,340.700 ","1"
"Japan","20120711 23:50:00","Foreign investment in Japan stocks","","","¥ -50.000 ","1"
