"country","date","name","actual","consensus","previous","volatility"
"Australia","20140507 01:30:00","Retail Sales s.a. (MoM)","","0.400  %","0.200  %","2"
"China","20140507 01:45:00","HSBC China Services PMI","",""," 51.900 ","2"
"Switzerland","20140507 05:45:00","Unemployment Rate s.a (MoM)","","3.200  %","3.200  %","2"
"Germany","20140507 06:00:00","Factory Orders n.s.a. (YoY)","","","6.100  %","2"
"Germany","20140507 06:00:00","Factory Orders s.a. (MoM)","","0.300  %","0.600  %","2"
"Switzerland","20140507 07:00:00","Foreign Currency Reserves","",""," 437.900 ","2"
"Poland","20140507 12:00:00","Central Bank FX Reserves","","","€ 74.800 ","1"
"Brazil","20140507 12:00:00","Industrial Output (MoM)","","","0.400  %","1"
"Brazil","20140507 12:00:00","Industrial Output (YoY)","","","5.000  %","1"
"Canada","20140507 12:30:00","Building Permits (MoM)","","4.300  %","-11.600  %","2"
"United States","20140507 12:30:00","Nonfarm Productivity","","-1.000  %","1.800  %","1"
"United States","20140507 12:30:00","Unit Labor Costs","","2.600  %","-0.100  %","1"
"Chile","20140507 12:30:00","Trade Balance","","","$ 1,702.000 ","1"
"United States","20140507 14:00:00","Fed's Yellen Speech","","","","2"
"United States","20140507 14:30:00","EIA Crude Oil Stocks change","",""," 1.698 ","1"
"United States","20140507 17:00:00","10-Year Note Auction","","","2.720  %","1"
"United States","20140507 19:00:00","Consumer Credit Change","","$ 15.750 ","$ 16.490 ","2"
"United Kingdom","20140507 23:01:00","RICS Housing Price Balance","","56.000  %","57.000  %","1"
