Securities in Ban For Trade Date 21-SEP-2020: 
1,ADANIENT
2,BHEL
3,CANBK
4,GLENMARK
5,IDEA
6,JINDALSTEL
7,L&TFH
8,SAIL
9,TATACHEM
10,VEDL
