##Numeric_Id	Internal_Ref		Channel
64316		NIYJ1		15
8665		6RH4		60
876011		QOQ2		33
45580		ESZ1		7
24330		6RU2		60
669909		ZDH1		113
49278		ESU1		7
24331		6RZ2		60
676759		RXM1		113
316645		KEZ1		120
31770		KEH1		120
97482		6JM1		11
62610		EMFU1		15
8756		ANEH2		60
627086		XCN2		111
697020		ZDM1		113
222666		KEU2		120
97487		6ZQ1		11
62917		K06M1		15
875992		TREH2		60
797289		RXZ1		113
93451		RMBH2		11
877297		QCG2		33
24633		ANEU1		60
301523		Z3NZ1		115
36169		KEN2		120
2535		6RH5		60
549790		YMZ1		113
9788		6AH1		11
63124		TECM1		15
807255		YMM1		113
9822		6JH1		11
87792		ANEM2		60
859156		ZDZ1		113
113187		EJH1		9
9893		6SH1		11
25559		6LX1		60
551168		DDU1		113
113188		EJM1		9
99218		6AM1		11
26004		ECDM2		60
241653		KEU1		120
113189		EJU1		9
63833		MNFG1		15
878889		TREZ1		60
144108		ZDU1		113
12756		ZQN2		115
113190		EJZ1		9
94489		RMEU2		11
175035		DDM1		113
70248		ESH1		7
99229		J7H1		11
26094		AJYZ1		60
307032		ZQH2		115
75884		ESM1		7
880191		EEDK1		9
99501		6ZN1		11
244797		HRCF2		32
26511		6MG1		60
585614		DDH1		113
113191		EJH2		9
94741		RMYZ1		11
201281		YMU1		113
95002		FXDU1		11
295116		HRCV1		32
883365		TREM1		60
220167		DDZ1		113
31747		ESH2		7
9961		6BH1		11
68012		MNFJ1		15
26567		ENKM2		60
26632		6LU1		60
130038		ZQX1		115
95233		6AM2		11
8900		6RM3		60
89191		ECKH2		60
10342		6ZJ1		11
87861		MGCJ2		33
26669		6RZ3		60
3133		RXH1		113
297281		HRCJ2		32
266964		M6EM1		60
89791		RPZ1		60
898911		TRYH2		60
104880		ILSH1		11
17931		GHYQ2		30
883995		GEQ1		9
26884		6RH3		60
113214		EJM2		9
90334		6MU2		60
113225		HCH1		9
90728		ECKM1		60
110778		M6AH1		11
179423		RBTM1		30
28110		EPZU1		60
11203		KRWG1		11
17943		GHYU2		30
2857		EHFM2		60
347041		YMH1		113
91602		E7H1		60
44753		HZJ3		30
91620		6LH4		60
91757		RFM2		60
11505		RMBU2		11
17946		A0XU1-A0XU2		30
298992		HRCZ1-HRCQ2		32
9202		6RU3		60
510257		KEK1		120
71279		EMFG1		15
29016		6NM2		60
121505		ILSM1		11
298149		M6EH1		60
92286		6LH3		60
17952		GHYV2		30
93109		PJYU1		60
121858		M6AM1		11
72709		EMFZ1		15
30041		6MN1		60
559052		KEZ2		120
12343		6ZU2		11
73368		NDH2		15
30192		AJYM1		60
116832		HCZ1		9
93351		EHFM1		60
570377		KEH2		120
12727		RMEF2		11
