"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","GSM STAGE 
"
94,"SPYL","Shekhawati Poly-Yarn Limited","INE268L01020","II"
95,"STAMPEDE","Stampede Capital Limited","INE224E01028","IV"
96,"SUJANAUNI","Sujana Universal Industries Limited","INE216G01011","III"
97,"SUMEETINDS","Sumeet Industries Limited","INE235C01010","0"
98,"SUPREMEINF","Supreme Infrastructure India Limited","INE550H01011","I"
99,"SYNCOM","Syncom Healthcare Limited","INE602K01014","0"
100,"TANTIACONS","Tantia Constructions Limited","INE388G01018","II"
101,"TCIFINANCE","TCI Finance Limited","INE911B01018","0"
102,"THIRUSUGAR","Thiru Arooran Sugars Limited","INE409A01015","0"
103,"THOMASCOTT","Thomas Scott (India) Limited","INE480M01011","0"
104,"TRF","TRF Limited","INE391D01019","0"
105,"TVVISION","TV Vision Limited","INE871L01013","0"
106,"UMESLTD","Usha Martin Education & Solutions Limited","INE240C01028","III"
107,"UNITY","Unity Infraprojects Limited","INE466H01028","0"
108,"VICEROY","Viceroy Hotels Limited","INE048C01017","0"
109,"VISUINTL","Visu International Limited","INE965A01016","VI"
110,"WSI","W S Industries (I) Limited","INE100D01014","0"
111,"XPROINDIA","Xpro India Limited","INE445C01015","0"
112,"ZENITHBIR","Zenith Birla (India) Limited","INE318D01020","III"
113,"ZICOM","Zicom Electronic Security Systems Limited","INE871B01014","0"
