Trade_Filename,Profit_Count,Loss_Count,Profit_Count_wrt_Limit,Loss_Count_wrt_Limit,Total_PNL,Total_Product_Count
trades.20200729.123805,0,6,2,4,-19081,6
trades.20200729.123806,0,2,0,2,-8157,2
trades.20200729.123807,0,3,2,1,-10405,3
trades.20200729.123808,0,5,3,2,-14882,5
summary.20200729,0,16,7,9,-52525,16
trades.20200728.123705,2,8,7,3,-19402,10
trades.20200728.123706,1,5,2,4,-9660,6
trades.20200728.123805,0,4,2,2,-13850,4
trades.20200728.123806,0,2,0,2,-8402,2
trades.20200728.123807,0,1,1,0,-2145,1
trades.20200728.123808,0,3,0,3,-13450,3
summary.20200728,3,23,12,14,-66909,26
trades.20200727.123805,1,0,1,0,212,1
trades.20200727.123806,0,4,1,3,-15997,4
trades.20200727.123807,0,2,0,2,-7099,2
trades.20200727.123808,0,1,0,1,-3223,1
summary.20200727,1,7,2,6,-26107,8
trades.20200724.123808,0,2,1,1,-8573,2
trades.20200724.123805,0,5,2,3,-15758,5
trades.20200724.123806,1,2,2,1,-8399,3
trades.20200724.123807,0,1,1,0,-2384,1
summary.20200724,1,10,6,5,-35114,11
trades.20200723.123712,0,0,0,0,0,0
trades.20200723.123805,0,1,0,1,-4972,1
trades.20200723.123806,0,2,0,2,-8745,2
trades.20200723.123807,0,1,1,0,-1330,1
trades.20200723.123808,0,2,0,2,-6831,2
summary.20200723,0,6,1,5,-21878,6
trades.20200722.123716,0,0,0,0,0,0
trades.20200722.123805,0,5,2,3,-17358,5
trades.20200722.123806,0,4,0,4,-16346,4
trades.20200722.123807,1,4,2,3,-12193,5
trades.20200722.123808,0,3,0,3,-11869,3
summary.20200722,1,16,4,13,-57766,17
trades.20200721.123805,0,1,0,1,-5466,1
trades.20200721.123806,0,2,1,1,-7855,2
trades.20200721.123807,0,2,0,2,-6826,2
trades.20200721.123808,0,1,0,1,-5497,1
trades.20200721.123901,0,0,0,0,0,0
summary.20200721,0,6,1,5,-25644,6
trades.20200720.123805,0,1,0,1,-5683,1
trades.20200720.123806,0,2,1,1,-8780,2
trades.20200720.123807,0,2,1,1,-7658,2
trades.20200720.123808,0,0,0,0,0,0
summary.20200720,0,5,2,3,-22121,5
trades.20200717.123805,0,2,1,1,-7014,2
trades.20200717.123806,0,7,1,6,-38220,7
trades.20200717.123807,0,3,3,0,-7558,3
trades.20200717.123808,0,4,2,2,-16732,4
summary.20200717,0,16,7,9,-69524,16
trades.20200716.123805,0,6,0,6,-27891,6
trades.20200716.123806,0,6,1,5,-22969,6
trades.20200716.123807,0,4,2,2,-12480,4
trades.20200716.123808,0,7,3,4,-28498,7
trades.20200716.123901,0,0,0,0,0,0
summary.20200716,0,23,6,17,-91838,23
trades.20200715.123815,1,6,5,2,-17789,7
trades.20200715.123816,0,7,4,3,-20796,7
trades.20200715.123817,0,1,1,0,-2488,1
trades.20200715.123818,1,5,2,4,-16999,6
trades.20200715.123901,0,0,0,0,0,0
summary.20200715,2,19,12,9,-58072,21
trades.20200714.123716,0,0,0,0,0,0
trades.20200714.123805,0,2,0,2,-8425,2
trades.20200714.123806,0,4,0,4,-21372,4
trades.20200714.123807,0,1,0,1,-4146,1
trades.20200714.123808,0,1,0,1,-4882,1
trades.20200714.123815,0,1,0,1,-5022,1
trades.20200714.123816,0,4,1,3,-20937,4
trades.20200714.123817,0,0,0,0,0,0
trades.20200714.123818,0,1,1,0,-2765,1
trades.20200714.123902,0,0,0,0,0,0
summary.20200714,0,14,2,12,-67549,14
trades.20200713.123805,0,3,2,1,-6359,3
trades.20200713.123806,0,3,1,2,-14643,3
trades.20200713.123808,0,8,1,7,-38730,8
trades.20200713.123807,0,5,0,5,-22525,5
summary.20200713,0,19,4,15,-82257,19
trades.20200710.123716,0,0,0,0,0,0
trades.20200710.123805,0,2,1,1,-8947,2
trades.20200710.123806,1,2,1,2,-8865,3
trades.20200710.123807,0,2,0,2,-8362,2
trades.20200710.123808,0,4,0,4,-16997,4
summary.20200710,1,10,2,9,-43171,11
trades.20200709.123805,0,3,3,0,-6104,3
trades.20200709.123806,2,4,4,2,-11799,6
trades.20200709.123807,0,6,1,5,-22556,6
trades.20200709.123808,0,2,1,1,-11780,2
trades.20200709.123901,0,0,0,0,0,0
summary.20200709,2,15,9,8,-52239,17
trades.20200708.123716,0,0,0,0,0,0
trades.20200708.123806,0,6,3,3,-16609,6
trades.20200708.123807,0,7,2,5,-33911,7
trades.20200708.123808,1,8,3,6,-26371,9
trades.20200708.123805,0,7,6,1,-16952,7
summary.20200708,1,28,14,15,-93843,29
trades.20200707.123805,0,1,1,0,-2507,1
trades.20200707.123806,1,2,3,0,-4955,3
trades.20200707.123807,0,5,2,3,-18410,5
trades.20200707.123808,0,6,4,2,-18160,6
summary.20200707,1,14,10,5,-44032,15
trades.20200706.123805,0,3,2,1,-8209,3
trades.20200706.123806,1,2,1,2,-9654,3
trades.20200706.123807,1,2,2,1,14421,3
trades.20200706.123808,0,3,1,2,-9138,3
summary.20200706,2,10,6,6,-12580,12
trades.20200704.1593843163,0,0,0,0,0,0
summary.20200704,0,0,0,0,0,0
trades.20200703.123805,1,1,2,0,-1736,2
trades.20200703.123806,0,2,0,2,-8262,2
trades.20200703.123807,0,2,2,0,-2198,2
trades.20200703.123808,1,2,2,1,-7326,3
trades.20200703.123901,0,0,0,0,0,0
summary.20200703,2,7,6,3,-19522,9
trades.20200702.123805,1,3,1,3,-10345,4
trades.20200702.123806,0,4,2,2,-26717,4
trades.20200702.123807,1,2,3,0,3252,3
trades.20200702.123808,0,1,1,0,-1268,1
summary.20200702,2,10,7,5,-35078,12
trades.20200701.123805,0,4,2,2,-18012,4
trades.20200701.123806,0,3,0,3,-14304,3
trades.20200701.123807,0,3,0,3,-12239,3
trades.20200701.123808,0,2,1,1,-4147,2
summary.20200701,0,12,3,9,-48702,12
trades.20200630.123805,1,6,2,5,-21143,7
trades.20200630.123806,1,5,4,2,-7947,6
trades.20200630.123807,0,3,1,2,-10259,3
trades.20200630.123808,0,3,1,2,-17103,3
summary.20200630,2,17,8,11,-56452,19
trades.20200629.123805,0,2,0,2,-14298,2
trades.20200629.123806,0,4,0,4,-20451,4
trades.20200629.123807,0,5,2,3,-17865,5
trades.20200629.123808,1,2,3,0,-2545,3
summary.20200629,1,13,5,9,-55159,14
trades.20200626.123804,0,3,0,3,-19749,3
trades.20200626.123805,0,6,0,6,-33777,6
trades.20200626.123806,0,1,0,1,-4058,1
trades.20200626.123807,0,2,1,1,-6124,2
trades.20200626.123808,0,2,0,2,-11888,2
summary.20200626,0,14,1,13,-75596,14
trades.20200625.123804,0,4,1,3,-14250,4
trades.20200625.123805,1,5,2,4,-13271,6
trades.20200625.123806,0,4,3,1,-7159,4
trades.20200625.123807,0,6,1,5,-22032,6
trades.20200625.123808,0,2,1,1,-8185,2
summary.20200625,1,21,8,14,-64897,22
trades.20200624.123804,0,1,0,1,-4923,1
trades.20200624.123805,2,7,7,2,-17268,9
trades.20200624.123806,0,4,2,2,-15099,4
trades.20200624.123807,0,1,0,1,-3477,1
trades.20200624.123808,0,4,1,3,-13889,4
summary.20200624,2,17,10,9,-54656,19
trades.20200623.123804,0,1,0,1,-7015,1
trades.20200623.123805,0,2,0,2,-8453,2
trades.20200623.123806,0,2,1,1,-7440,2
trades.20200623.123808,0,1,1,0,-2522,1
trades.20200623.123807,0,3,0,3,-13120,3
summary.20200623,0,9,2,7,-38550,9
trades.20200622.123804,0,2,1,1,-7611,2
trades.20200622.123805,0,1,1,0,-1630,1
trades.20200622.123806,0,1,0,1,-3782,1
trades.20200622.123807,0,1,0,1,-4958,1
trades.20200622.123808,1,1,2,0,-2109,2
summary.20200622,1,6,4,3,-20090,7
trades.20200619.123805,1,0,1,0,2479,1
trades.20200619.123806,0,0,0,0,0,0
trades.20200619.123807,1,0,1,0,7806,1
trades.20200619.123808,0,0,0,0,0,0
summary.20200619,2,0,2,0,10285,2
trades.20200618.123804,0,1,0,1,-3584,1
trades.20200618.123806,0,0,0,0,0,0
trades.20200618.123807,1,0,1,0,1134,1
trades.20200618.123808,0,0,0,0,0,0
trades.20200618.123805,0,0,0,0,0,0
summary.20200618,1,1,1,1,-2450,2
trades.20200617.123804,0,0,0,0,0,0
trades.20200617.123805,0,0,0,0,0,0
trades.20200617.123806,1,0,1,0,1564,1
trades.20200617.123807,0,0,0,0,0,0
trades.20200617.123808,0,1,1,0,-2971,1
summary.20200617,1,1,2,0,-1407,2
trades.20200616.123804,0,2,0,2,-9713,2
trades.20200616.123805,0,0,0,0,0,0
trades.20200616.123806,1,0,1,0,9415,1
trades.20200616.123807,0,1,0,1,-5139,1
trades.20200616.123808,0,1,1,0,-1708,1
summary.20200616,1,4,2,3,-7145,5
trades.20200615.123805,0,0,0,0,0,0
trades.20200615.123806,0,0,0,0,0,0
trades.20200615.123807,0,0,0,0,0,0
trades.20200615.123808,0,0,0,0,0,0
trades.20200615.123804,0,3,3,0,-6013,3
summary.20200615,0,3,3,0,-6013,3
trades.20200612.123804,0,1,0,1,-5154,1
trades.20200612.123805,0,0,0,0,0,0
trades.20200612.123806,0,0,0,0,0,0
trades.20200612.123807,0,0,0,0,0,0
trades.20200612.123808,0,0,0,0,0,0
summary.20200612,0,1,0,1,-5154,1
trades.20200611.123804,0,0,0,0,0,0
trades.20200611.123805,0,0,0,0,0,0
trades.20200611.123806,0,1,1,0,-708,1
trades.20200611.123807,0,0,0,0,0,0
trades.20200611.123808,0,0,0,0,0,0
summary.20200611,0,1,1,0,-708,1
trades.20200610.123804,0,2,0,2,-9559,2
trades.20200610.123805,0,1,1,0,-2517,1
trades.20200610.123806,0,0,0,0,0,0
trades.20200610.123807,0,0,0,0,0,0
trades.20200610.123808,1,0,1,0,2075,1
summary.20200610,1,3,2,2,-10001,4
trades.20200609.123804,1,0,1,0,193,1
trades.20200609.123805,0,0,0,0,0,0
trades.20200609.123806,0,1,1,0,-2992,1
trades.20200609.123807,0,1,1,0,-2581,1
trades.20200609.123808,0,2,0,2,-9213,2
summary.20200609,1,4,3,2,-14593,5
trades.20200608.123804,0,0,0,0,0,0
trades.20200608.123805,0,2,1,1,-12854,2
trades.20200608.123806,0,3,1,2,-14442,3
trades.20200608.123807,0,2,1,1,-5244,2
trades.20200608.123808,0,1,0,1,-4286,1
summary.20200608,0,8,3,5,-36826,8
trades.20200606.1591426305,0,0,0,0,0,0
trades.20200606.1591426765,0,0,0,0,0,0
summary.20200606,0,0,0,0,0,0
trades.20200605.123805,0,0,0,0,0,0
trades.20200605.123806,0,0,0,0,0,0
trades.20200605.123807,0,1,0,1,-5411,1
trades.20200605.123808,0,0,0,0,0,0
trades.20200605.123804,1,1,1,1,-2873,2
summary.20200605,1,2,1,2,-8284,3
trades.20200604.123804,0,5,1,4,-34226,5
trades.20200604.123805,0,1,0,1,-3530,1
trades.20200604.123806,0,0,0,0,0,0
trades.20200604.123807,0,0,0,0,0,0
trades.20200604.123808,0,0,0,0,0,0
summary.20200604,0,6,1,5,-37756,6
trades.20200603.123804,0,1,0,1,-6757,1
trades.20200603.123805,0,1,0,1,-4837,1
trades.20200603.123806,0,1,0,1,-3386,1
trades.20200603.123807,0,1,1,0,-1438,1
trades.20200603.123808,0,0,0,0,0,0
summary.20200603,0,4,1,3,-16418,4
trades.20200602.123804,0,3,0,3,-14036,3
trades.20200602.123805,0,1,0,1,-4178,1
trades.20200602.123806,0,2,0,2,-9652,2
trades.20200602.123807,0,1,0,1,-3145,1
trades.20200602.123808,0,2,0,2,-10749,2
summary.20200602,0,9,0,9,-41760,9
trades.20200601.123804,0,3,0,3,-16716,3
trades.20200601.123805,0,1,0,1,-3596,1
trades.20200601.123806,0,1,0,1,-4420,1
trades.20200601.123807,0,0,0,0,0,0
trades.20200601.123808,0,0,0,0,0,0
summary.20200601,0,5,0,5,-24732,5
trades.20200529.123804,0,1,0,1,-8375,1
trades.20200529.123805,0,0,0,0,0,0
trades.20200529.123806,0,0,0,0,0,0
trades.20200529.123807,0,1,0,1,-5048,1
trades.20200529.123808,0,1,0,1,-3045,1
summary.20200529,0,3,0,3,-16468,3
trades.20200528.123804,0,2,0,2,-9246,2
trades.20200528.123805,0,0,0,0,0,0
trades.20200528.123806,0,0,0,0,0,0
trades.20200528.123807,0,1,0,1,-5787,1
trades.20200528.123808,0,1,0,1,-5057,1
summary.20200528,0,4,0,4,-20090,4
trades.20200527.123804,0,4,0,4,-20387,4
trades.20200527.123805,0,0,0,0,0,0
trades.20200527.123806,0,0,0,0,0,0
trades.20200527.123808,0,0,0,0,0,0
trades.20200527.123807,0,1,0,1,-5013,1
summary.20200527,0,5,0,5,-25400,5
trades.20200526.123804,0,3,2,1,-9828,3
trades.20200526.123805,0,0,0,0,0,0
trades.20200526.123806,0,0,0,0,0,0
trades.20200526.123807,0,1,1,0,-2375,1
trades.20200526.123808,0,0,0,0,0,0
summary.20200526,0,4,3,1,-12203,4
trades.20200522.123804,0,2,0,2,-9800,2
trades.20200522.123805,0,0,0,0,0,0
