Symbol	Positions
OPTSTK BHARTIARTL 27AUG2020 590.0 CE NSE_BHARTIARTL_CE_20200827_590.00	0
OPTSTK BHEL 27AUG2020 37.0 CE NSE_BHEL_CE_20200827_37.00	-2
OPTSTK BIOCON 27AUG2020 400.0 PE NSE_BIOCON_PE_20200827_400.00	2
OPTSTK BIOCON 27AUG2020 440.0 CE NSE_BIOCON_CE_20200827_440.00	0
OPTSTK BPCL 27AUG2020 380.0 PE NSE_BPCL_PE_20200827_380.00	2
OPTSTK BPCL 27AUG2020 400.0 PE NSE_BPCL_PE_20200827_400.00	2
OPTSTK BPCL 27AUG2020 410.0 CE NSE_BPCL_CE_20200827_410.00	-2
OPTSTK BPCL 27AUG2020 410.0 PE NSE_BPCL_PE_20200827_410.00	2
OPTSTK BPCL 27AUG2020 420.0 CE NSE_BPCL_CE_20200827_420.00	-2
OPTSTK BPCL 27AUG2020 430.0 CE NSE_BPCL_CE_20200827_430.00	2
OPTSTK BRITANNIA 27AUG2020 3800.0 PE NSE_BRITANNIA_PE_20200827_3800.00	0
OPTSTK BRITANNIA 27AUG2020 3900.0 CE NSE_BRITANNIA_CE_20200827_3900.00	4
OPTSTK BRITANNIA 27AUG2020 4000.0 CE NSE_BRITANNIA_CE_20200827_4000.00	2
OPTSTK IBULHSGFIN 27AUG2020 200.0 CE NSE_IBULHSGFIN_CE_20200827_200.00	-2
OPTSTK ICICIBANK 27AUG2020 320.0 PE NSE_ICICIBANK_PE_20200827_320.00	0
OPTSTK ICICIBANK 27AUG2020 330.0 PE NSE_ICICIBANK_PE_20200827_330.00	0
OPTSTK ICICIBANK 27AUG2020 340.0 PE NSE_ICICIBANK_PE_20200827_340.00	-2
OPTSTK ICICIBANK 27AUG2020 350.0 CE NSE_ICICIBANK_CE_20200827_350.00	-2
OPTSTK ICICIBANK 27AUG2020 350.0 PE NSE_ICICIBANK_PE_20200827_350.00	-6
OPTSTK ICICIBANK 27AUG2020 360.0 CE NSE_ICICIBANK_CE_20200827_360.00	-4
OPTSTK ICICIBANK 27AUG2020 370.0 CE NSE_ICICIBANK_CE_20200827_370.00	4
OPTSTK ICICIBANK 27AUG2020 380.0 CE NSE_ICICIBANK_CE_20200827_380.00	0
OPTSTK ICICIPRULI 27AUG2020 440.0 PE NSE_ICICIPRULI_PE_20200827_440.00	0
OPTSTK ICICIPRULI 27AUG2020 460.0 CE NSE_ICICIPRULI_CE_20200827_460.00	0
OPTSTK ICICIPRULI 27AUG2020 460.0 PE NSE_ICICIPRULI_PE_20200827_460.00	2
OPTSTK IGL 27AUG2020 380.0 PE NSE_IGL_PE_20200827_380.00	-2
OPTSTK IGL 27AUG2020 390.0 CE NSE_IGL_CE_20200827_390.00	2
OPTSTK IGL 27AUG2020 390.0 PE NSE_IGL_PE_20200827_390.00	0
OPTSTK IGL 27AUG2020 400.0 CE NSE_IGL_CE_20200827_400.00	8
OPTSTK INDIGO 27AUG2020 940.0 PE NSE_INDIGO_PE_20200827_940.00	-2
OPTSTK INDIGO 27AUG2020 980.0 CE NSE_INDIGO_CE_20200827_980.00	0
OPTSTK INDIGO 27AUG2020 980.0 PE NSE_INDIGO_PE_20200827_980.00	0
OPTSTK INDUSINDBK 27AUG2020 440.0 PE NSE_INDUSINDBK_PE_20200827_440.00	0
OPTSTK INDUSINDBK 27AUG2020 460.0 PE NSE_INDUSINDBK_PE_20200827_460.00	-2
OPTSTK INDUSINDBK 27AUG2020 480.0 PE NSE_INDUSINDBK_PE_20200827_480.00	-4
