Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
01/02/2013 08:58,US,1),,Markit US PMI Final,Dec,53.6,54,54.2,--,0.925926,ECONMUSF Index
01/02/2013 10:00,US,2),,Construction Spending MoM,Nov,0.60%,-0.30%,1.40%,0.70%,78.7037,CNSTTMOM Index
01/02/2013 10:00,US,3),,ISM Manufacturing,Dec,50.5,50.7,49.5,--,94.4444,NAPMPMI Index
01/02/2013 10:00,US,4),,ISM Prices Paid,Dec,50.8,55.5,52.5,--,68.5185,NAPMPRIC Index
01/03/2013 07:00,US,5),,MBA Mortgage Applications,28-Dec,--,--,--,--,93.75,MBAVCHNG Index
01/03/2013 07:30,US,6),,Challenger Job Cuts YoY,Dec,--,--,34.40%,--,29.6296,CHALYOY% Index
01/03/2013 08:00,US,7),,RBC Consumer Outlook Index,Jan,--,--,46.9,--,9.25926,ICSHNATL Index
01/03/2013 08:15,US,8),,ADP Employment Change,Dec,140K,--,118K,--,76.8519,ADP CHNG Index
01/03/2013 08:30,US,9),,Initial Jobless Claims,29-Dec,360K,--,350K,--,99.0741,INJCJC Index
01/03/2013 08:30,US,10),,Continuing Claims,22-Dec,3210K,--,3206K,--,69.3519,INJCSP Index
01/03/2013 09:45,US,11),,Bloomberg Consumer Comfort,30-Dec,--,--,-32.1,--,61.1111,COMFCOMF Index
01/03/2013 09:45,US,12),,ISM New York,Dec,--,--,52.5,--,6.48148,NYPMCURR Index
01/03/2013 14:00,US,13),,Fed Releases Minutes from December 11-12 FOMC Meeting,,,,,,0,
01/03/2013 17:00,US,14),,Total Vehicle Sales,Dec,15.30M,--,15.46M,--,38.8889,SAARTOTL Index
01/03/2013 17:00,US,15),,Domestic Vehicle Sales,Dec,11.70M,--,12.01M,--,31.4815,SAARDTOT Index
01/04/2013 08:30,US,16),,Change in Nonfarm Payrolls,Dec,150K,--,146K,--,98.1481,NFP TCH Index
01/04/2013 08:30,US,17),,Change in Private Payrolls,Dec,150K,--,147K,--,18.5185,NFP PCH Index
01/04/2013 08:30,US,18),,Change in Manufact. Payrolls,Dec,4K,--,-7K,--,68.7037,USMMMNCH Index
01/04/2013 08:30,US,19),,Unemployment Rate,Dec,7.70%,--,7.70%,--,88.3333,USURTOT Index
01/04/2013 08:30,US,20),,Avg Hourly Earning MOM All Emp,Dec,0.20%,--,0.20%,--,14.8148,AHE MOM% Index
01/04/2013 08:30,US,21),,Avg Hourly Earning YOY All Emp,Dec,1.70%,--,1.70%,--,13.8889,AHE YOY% Index
01/04/2013 08:30,US,22),,Avg Weekly Hours All Employees,Dec,34.4,--,34.4,--,12.963,AWH TOTL Index
01/04/2013 08:30,US,23),,Change in Household Employment,Dec,--,--,-122,--,10.1852,USEMNCHG Index
01/04/2013 08:30,US,24),,Underemployment Rate (U6),Dec,--,--,14.40%,--,8.33333,USUDMAER Index
01/04/2013 10:00,US,25),,Factory Orders,Nov,0.40%,--,0.80%,--,82.4074,TMNOCHNG Index
01/04/2013 10:00,US,26),,ISM Non-Manf. Composite,Dec,54,--,54.7,--,70.3704,NAPMNMI Index
01/08/2013 07:30,US,27),,NFIB Small Business Optimism,Dec,--,--,87.5,--,56.4815,SBOITOTL Index
01/08/2013 10:00,US,28),,IBD/TIPP Economic Optimism,Jan,--,--,45.1,--,4.62963,ECONUSIB Index
01/08/2013 15:00,US,29),,Consumer Credit,Nov,$12.000B,--,$14.158B,--,37.037,CICRTOT Index
01/09/2013 07:00,US,30),,MBA Mortgage Applications,4-Jan,--,--,--,--,93.75,MBAVCHNG Index
01/10/2013 08:30,US,31),,Initial Jobless Claims,5-Jan,--,--,--,--,99.0741,INJCJC Index
01/10/2013 08:30,US,32),,Continuing Claims,29-Dec,--,--,--,--,69.3519,INJCSP Index
01/10/2013 08:45,US,33),,Bloomberg Jan. United States Economic Survey,,,,,,0,
01/10/2013 09:45,US,34),,Bloomberg Consumer Comfort,6-Jan,--,--,--,--,61.1111,COMFCOMF Index
01/10/2013 10:00,US,35),,Wholesale Inventories,Nov,0.30%,--,0.60%,--,79.6296,MWINCHNG Index
01/10/2013 10:00,US,36),,JOLTs Job Openings,Nov,--,--,3675,--,11.1111,JOLTTOTL Index
