Trade Date,Market,Trade No,Trade Time,Instrument,Symbol,Expiry Date,Strike Price,OptionType,Quantity,Price,Trade Value,B/S,Order No,Branch No,User Id,Client Type,Client A/C,TM Code,CP Code,Remarks,Status,CTCL Id
25AUG2020,N,        93391216,11:52:15,OPTSTK,SBIN,27AUG2020,200.00,PE,      3000,   1.20,        3600.00,B,1500000025948758,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        93391215,11:52:15,FUTSTK,SBIN,27AUG2020,,,      3000, 205.35,      616050.00,B,1500000025948654,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        93391208,11:52:14,OPTSTK,SBIN,27AUG2020,210.00,CE,      3000,   1.85,        5550.00,S,1500000025930317,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        52003158,11:52:10,FUTSTK,KOTAKBANK,27AUG2020,,,       400,1388.00,      555200.00,S,1300000033736314,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        45337691,11:52:09,OPTSTK,BAJAJFINSV,27AUG2020,6500.00,CE,       125,  76.05,        9506.25,B,1200000027948263,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        52003079,11:52:08,OPTSTK,KOTAKBANK,27AUG2020,1440.00,CE,       400,   3.15,        1260.00,S,1300000033313795,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        52003060,11:52:07,OPTSTK,ICICIBANK,27AUG2020,380.00,CE,      1375,   8.95,       12306.25,B,1300000033638942,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        93390886,11:52:05,OPTSTK,VOLTAS,27AUG2020,640.00,PE,      1000,   1.40,        1400.00,B,1500000025761828,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        93390880,11:52:05,OPTSTK,VOLTAS,27AUG2020,660.00,PE,      1000,   7.35,        7350.00,S,1500000025724288,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        52003017,11:52:05,OPTSTK,KOTAKBANK,27AUG2020,1400.00,CE,       400,  11.80,        4720.00,B,1300000033729278,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        93390854,11:52:05,OPTSTK,TCS,27AUG2020,2320.00,CE,       300,   5.55,        1665.00,S,1500000025827923,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        52002997,11:52:05,OPTSTK,LT,27AUG2020,1060.00,CE,       550,   0.85,         467.50,S,1300000033733458,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        45337581,11:52:04,OPTSTK,BAJAJFINSV,27AUG2020,6300.00,PE,       125,  21.50,        2687.50,S,1200000027775445,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        45337506,11:52:01,OPTSTK,BPCL,27AUG2020,390.00,PE,      1800,   0.55,         990.00,B,1200000027963227,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        45337327,11:51:50,FUTSTK,BAJFINANCE,27AUG2020,,,       250,3572.60,      893150.00,S,1200000027935858,1,34459,PRO,90044,90044,90044,,P,560049001004000
25AUG2020,N,        45337323,11:51:50,OPTSTK,BAJFINANCE,27AUG2020,3500.00,CE,       250,  94.50,       23625.00,B,1200000027934009,1,35693,PRO,90044,90044,90044,,P,560049001005000
25AUG2020,N,        93390485,11:51:47,FUTSTK,TATASTEEL,27AUG2020,,,      1700, 425.80,      723860.00,B,1500000025853437,1,36975,PRO,90044,90044,90044,,P,560049001011000
