Symbol	Positions
FUTSTK SUNPHARMA 26NOV2020  NSE_SUNPHARMA_FUT2	0
FUTSTK SUNPHARMA 29OCT2020  NSE_SUNPHARMA_FUT1	0
FUTSTK TATACHEM 26NOV2020  NSE_TATACHEM_FUT2	0
FUTSTK TATACHEM 29OCT2020  NSE_TATACHEM_FUT1	0
FUTSTK TATAMOTORS 26NOV2020  NSE_TATAMOTORS_FUT2	-3
FUTSTK TATAMOTORS 29OCT2020  NSE_TATAMOTORS_FUT1	3
FUTSTK TATASTEEL 26NOV2020  NSE_TATASTEEL_FUT2	-1
FUTSTK TATASTEEL 29OCT2020  NSE_TATASTEEL_FUT1	1
FUTSTK TCS 24SEP2020  NSE_TCS_FUT0	-1
FUTSTK TCS 26NOV2020  NSE_TCS_FUT2	-2
FUTSTK TCS 29OCT2020  NSE_TCS_FUT1	2
FUTSTK VEDL 24SEP2020  NSE_VEDL_FUT0	-1
FUTSTK ZEEL 26NOV2020  NSE_ZEEL_FUT2	1
FUTSTK ZEEL 29OCT2020  NSE_ZEEL_FUT1	-1
