Securities in Ban For Trade Date 26-AUG-2020: 
1,ASHOKLEY
2,BHEL
3,CANBK
4,GMRINFRA
5,IDEA
6,LICHSGFIN
7,NATIONALUM
8,PNB
9,SAIL
10,VEDL
