"country","date","name","actual","consensus","previous","volatility"
"Japan","20160407 00:30:00","Bank of Japan Governor Kuroda Speech","","","","3"
" EUR"","20160407 06:45:00",""Imports","","","","France"
"France","20160407 06:45:00","Trade Balance EUR","","","","1"
" EUR"","20160407 06:45:00",""Exports","","","","France"
"France","20160407 06:45:00","Current Account","","","","1"
"Spain","20160407 07:00:00","Industrial Output Cal Adjusted (YoY)","","","","1"
"Switzerland","20160407 07:00:00","Foreign Currency Reserves","","","","1"
"United Kingdom","20160407 07:30:00","Halifax House Prices (MoM)","","","","1"
"United Kingdom","20160407 07:30:00","Halifax House Prices (3m/YoY)","","","","1"
"China","20160407 08:00:00","Foreign Exchange Reserves (MoM)","","","","1"
"Greece","20160407 09:00:00","Unemployment Rate (MoM)","","","","1"
"European Monetary Union","20160407 11:30:00","ECB Monetary Policy Meeting Accounts","","","","3"
"United States","20160407 12:30:00","Continuing Jobless Claims","","","","2"
"United States","20160407 12:30:00","Initial Jobless Claims","","","","2"
"Canada","20160407 12:30:00","Building Permits (MoM)","","","","1"
"European Monetary Union","20160407 13:00:00","ECB President Draghi's Speech","","","","3"
"United States","20160407 14:30:00","EIA Natural Gas Storage change","","","","1"
"United States","20160407 19:00:00","Consumer Credit Change","","","","2"
"United States","20160407 21:30:00","Fed's Yellen Speech","","","","2"
"Japan","20160407 23:50:00","Trade Balance - BOP Basis","","","","1"
"Japan","20160407 23:50:00","Current Account n.s.a.","","","","1"
