"country","date","name","actual","consensus","previous","volatility"
"United States","20161124 00:00:00","Thanksgiving day","","","","0"
"Japan","20161124 00:30:00","Nikkei Manufacturing PMI","","","","1"
"Japan","20161124 05:00:00","Leading Economic Index","","","","2"
"Japan","20161124 05:00:00","Coincident Index","","","","2"
"France","20161124 06:30:00","Nonfarm Payrolls (QoQ)","","","","1"
"Germany","20161124 07:00:00","Gfk Consumer Confidence Survey","","","","2"
"Germany","20161124 07:00:00","Gross Domestic Product s.a (QoQ)","","","","2"
"Germany","20161124 07:00:00","Gross Domestic Product w.d.a (YoY)","","","","2"
"Germany","20161124 07:00:00","Gross Domestic Product n.s.a (YoY)","","","","2"
"France","20161124 07:45:00","Business Climate","","","","1"
"Spain","20161124 08:00:00","Gross Domestic Product (YoY)","","","","1"
"Spain","20161124 08:00:00","Gross Domestic Product (QoQ)","","","","1"
"Switzerland","20161124 08:15:00","Industrial Production (YoY)","","","","2"
"Switzerland","20161124 08:15:00","Industrial Production (QoQ)","","","","2"
"Germany","20161124 09:00:00","IFO - Business Climate","","","","2"
"Germany","20161124 09:00:00","IFO - Current Assessment","","","","2"
"Germany","20161124 09:00:00","IFO - Expectations","","","","2"
"Italy","20161124 09:00:00","Trade Balance non-EU","","","","1"
"United Kingdom","20161124 09:30:00","BBA Mortgage Approvals","","","","1"
"Italy","20161124 10:00:00","Wage Inflation (MoM)","","","","1"
"Italy","20161124 10:00:00","Wage Inflation (YoY)","","","","1"
"Russia","20161124 11:00:00","Central Bank Reserves $","","","","1"
"Germany","20161124 12:00:00","Gfk Consumer Confidence Survey","","","","2"
" $"","20161124 14:00:00",""Trade Balance s/a","","","","Mexico"
"Mexico","20161124 14:00:00","Retail Sales (YoY)","","","","1"
"Mexico","20161124 14:00:00","Retail Sales (MoM)","","","","1"
" $"","20161124 14:00:00",""Trade Balance","","","","Mexico"
"Mexico","20161124 14:00:00","1st half-month Core Inflation","","","","1"
"Mexico","20161124 14:00:00","1st half-month Inflation","","","","1"
"Switzerland","20161124 17:15:00","SNB Gov Board Member Zurbrugg Speech","","","","1"
"New Zealand","20161124 21:45:00","Trade Balance (MoM)","","","","2"
"New Zealand","20161124 21:45:00","Trade Balance (YoY)","","","","2"
"New Zealand","20161124 21:45:00","Imports","","","","2"
"New Zealand","20161124 21:45:00","Exports","","","","2"
"Japan","20161124 23:30:00","Tokyo CPI ex Fresh Food (YoY)","","","","1"
"Japan","20161124 23:30:00","Tokyo Consumer Price Index (YoY)","","","","1"
" Energy (YoY)"","20161124 23:30:00",""Tokyo CPI ex Food","","","","Japan"
"Japan","20161124 23:30:00","National Consumer Price Index (YoY)","","","","2"
"Japan","20161124 23:30:00","National CPI Ex-Fresh Food (YoY)","","","","2"
" Energy (YoY)"","20161124 23:30:00",""National CPI Ex Food","","","","Japan"
"Japan","20161124 23:50:00","Corporate Service Price (YoY)","","","","1"
"Japan","20161124 23:50:00","Foreign bond investment","","","","2"
"Japan","20161124 23:50:00","Foreign investment in Japan stocks","","","","2"
