"country","date","name","actual","consensus","previous","volatility"
"Russia","20160822 05:00:00","Gross Domestic Product Monthly (YoY)","","","","1"
"India","20160822 12:00:00","Trade Deficit Government","","","","1"
"United States","20160822 12:30:00",""Chicago Fed National Activity Index "","","","","2"
"Canada","20160822 12:30:00","Wholesale Sales (MoM)","","","","1"
"Mexico","20160822 13:00:00","Gross Domestic Product (QoQ)","","","","1"
"Mexico","20160822 13:00:00","Gross Domestic Product (YoY)","","","","1"
"United States","20160822 15:30:00","3-Month Bill Auction","","","","1"
"United States","20160822 15:30:00","6-Month Bill Auction","","","","1"
