"country","date","name","actual","consensus","previous","volatility"
"Russia","20120410 00:00:00","Budget Fulfilment","","","1.500  %","1"
"China","20120410 00:00:00","Trade Balance",""," -1.300 "," -31.500 ","2"
"Australia","20120410 01:30:00","ANZ Job Advertisements","","","3.300  %","1"
"Australia","20120410 01:30:00","National Australia Bank's Business Confidence","",""," 1.000 ","2"
"Australia","20120410 01:30:00","National Australia Bank's Business Conditions","",""," 3.000 ","1"
"Japan","20120410 03:30:00","BoJ Interest Rate Decision","","0.100  %","0.100  %","3"
"Switzerland","20120410 05:45:00","Unemployment Rate n.s.a (MoM)","","3.300  %","3.400  %","2"
"Japan","20120410 06:00:00","BoJ's Governor Shirakawa Speech","","","","2"
"Germany","20120410 06:00:00","Current Account n.s.a.","","€ 12.000 ","€ 8.000 ","1"
"South Africa","20120410 06:00:00","Gross $Gold & Forex Reserve ","","","$ 51.889 ","1"
"Finland","20120410 06:00:00","Industry Output (MoM)","","","-4.900  %","1"
"Japan","20120410 06:00:00","Machine Tool Orders (YoY)","","","-8.600  %","1"
"South Africa","20120410 06:00:00","Net $Gold & Forex Reserve","","","$ 49.639 ","1"
"Germany","20120410 06:00:00","Trade Balance s.a.","","€ 13.600 ","€ 14.200 ","2"
"France","20120410 06:45:00","Industrial Output (MoM)","","","","1"
"Romania","20120410 07:00:00","Consumer Price Index","","","2.600  %","1"
"Czech Republic","20120410 07:00:00","Consumer Price Index (MoM)","","","0.200  %","1"
"Denmark","20120410 07:00:00","Consumer Price Index (YoY)","","","2.800  %","1"
"Czech Republic","20120410 07:00:00","Consumer Price Index (YoY)","","","3.700  %","1"
"Denmark","20120410 07:00:00","Inflation (HICP) (YoY)","","","2.700  %","1"
"Czech Republic","20120410 07:00:00","Unemployment Rate","","","9.200  %","1"
"Sweden","20120410 07:30:00","Industrial Production (MoM)","","","3.600  %","1"
"Sweden","20120410 07:30:00","Industrial Production (YoY)","","","2.100  %","1"
"Netherlands, The","20120410 07:30:00","Manufacturing Output (MoM)","","","-3.900  %","1"
"Sweden","20120410 07:30:00","New Orders Manufacturing (YoY)","","","-0.600  %","1"
"Norway","20120410 08:00:00","Consumer Price Index (MoM)","","","1.000  %","1"
"Norway","20120410 08:00:00","Core Inflation ","","","1.300  %","1"
"Norway","20120410 08:00:00","Core Inflation (MoM)","","","0.700  %","1"
"Norway","20120410 08:00:00","Producer Price Index (YoY)","","","7.600  %","1"
"United Kingdom","20120410 08:30:00","DCLG House Price Index (YoY)","","","0.200  %","1"
"European Monetary Union","20120410 08:30:00","Sentix Investor Confidence",""," -8.100 "," -8.200 ","2"
"Mexico","20120410 13:00:00","Gross Domestic Product (MoM)","","","","1"
"Mexico","20120410 13:00:00","Gross Domestic Product (YoY)","","","6.700  %","1"
"United States","20120410 14:00:00","IBD/TIPP Economic Optimism (MoM)",""," 49.100 "," 47.500 ","1"
"United States","20120410 14:00:00","Wholesale Inventories","","0.500  %","0.400  %","1"
"United States","20120410 16:30:00","Fed's Fisher's speech","","","","1"
"United States","20120410 16:45:00","Fed's Lockhart speech","","","","1"
"New Zealand","20120410 22:00:00","NZIER Business Confidence (QoQ)","",""," 0.000 ","2"
"United Kingdom","20120410 23:01:00","BRC Retail Sales Monitor - All (YoY)","","0.000  %","-0.300  %","1"
"Japan","20120410 23:50:00","Core Machinery Orders (MoM)","","-0.800  %","3.400  %","2"
