"country","date","name","actual","consensus","previous","volatility"
"Italy","20170627 08:00:00","Consumer Confidence","","","","1"
"Italy","20170627 08:00:00","Business Confidence","","","","1"
"European Monetary Union","20170627 08:00:00","ECB President Draghi's Speech","","","","3"
"Australia","20170627 08:30:00","RBA Assist Gov Debelle Speech","","","","2"
"United Kingdom","20170627 09:30:00","Financial Stability Report","","","","2"
"United Kingdom","20170627 10:00:00","BOE's Governor Carney speech","","","","3"
"European Monetary Union","20170627 10:00:00","BOE's Governor Carney speech","","","","2"
"United Kingdom","20170627 10:00:00","CBI Distributive Trades Survey - Realized (MoM)","","","","1"
"United States","20170627 12:55:00","Redbook index (MoM)","","","","1"
"United States","20170627 12:55:00","Redbook index (YoY)","","","","1"
"United States","20170627 13:00:00","S&P/Case-Shiller Home Price Indices (YoY)","","","","2"
" $"","20170627 13:00:00",""Trade Balance s/a","","","","Mexico"
" $"","20170627 13:00:00",""Trade Balance","","","","Mexico"
"Brazil","20170627 13:30:00","Current Account","","","","1"
"United States","20170627 14:00:00","Richmond Fed Manufacturing Index","","","","1"
"United States","20170627 15:15:00","FOMC Member Harker Speech","","","","2"
"United States","20170627 15:30:00","4-Week Bill Auction","","","","1"
"United States","20170627 17:00:00","5-Year Note Auction","","","","1"
"United States","20170627 17:00:00","Fed's Yellen Speech","","","","3"
"United States","20170627 20:30:00","API Weekly Crude Oil Stock","","","","1"
"United States","20170627 21:30:00","FOMC Member Kashkari Speech","","","","2"
