"country","date","name","actual","consensus","previous","volatility"
"Australia","20140708 01:30:00","National Australia Bank's Business Confidence","",""," 7.000 ","2"
"Japan","20140708 05:00:00","Eco Watchers Survey: Current","",""," 45.100 ","2"
"Japan","20140708 05:00:00","Eco Watchers Survey: Outlook","",""," 53.800 ","2"
"Germany","20140708 06:00:00","Trade Balance s.a.","","€ 15.700 ","€ 17.700 ","2"
"Switzerland","20140708 07:15:00","Consumer Price Index (YoY)","","0.200  %","0.200  %","2"
"Switzerland","20140708 07:15:00","Real Retail Sales (YoY)","","1.800  %","0.400  %","2"
"United Kingdom","20140708 08:30:00","Industrial Production (YoY)","","3.100  %","3.000  %","2"
"United Kingdom","20140708 08:30:00","Industrial Production (MoM)","","0.200  %","0.400  %","1"
"United Kingdom","20140708 08:30:00","Manufacturing Production (MoM)","","0.400  %","0.400  %","1"
"United Kingdom","20140708 08:30:00","Manufacturing Production (YoY)","","5.600  %","4.400  %","2"
"Brazil","20140708 12:00:00","IPCA Inflation","","","0.460  %","1"
"United States","20140708 12:55:00","Redbook index (MoM)","","","-1.700  %","1"
"United States","20140708 12:55:00","Redbook index (YoY)","","","3.100  %","1"
"United Kingdom","20140708 14:00:00","NIESR GDP Estimate (3M)","","","0.900  %","2"
"United States","20140708 15:30:00","4-Week Bill Auction","","","0.025  %","1"
"United States","20140708 17:00:00","3-Year Note Auction","","","0.930  %","1"
"United States","20140708 17:45:00","Fed Minneapolis's Narayana Kocherlakota speech ","","","","1"
"United States","20140708 19:00:00","Consumer Credit Change","","$ 20.000 ","$ 26.850 ","2"
"New Zealand","20140708 22:45:00","Electronic Card Retail Sales (YoY)","","","7.600  %","2"
"New Zealand","20140708 22:45:00","Electronic Card Retail Sales  (MoM)","","","1.300  %","2"
"United Kingdom","20140708 23:01:00","BRC Shop Price Index (MoM)","","","-1.400  %","1"
"Japan","20140708 23:50:00","Money Supply M2+CD (YoY)","","3.100  %","3.300  %","1"
