"country","date","name","actual","consensus","previous","volatility"
"Portugal","20150610 00:00:00","Portugal Day","","","","0"
"Australia","20150610 00:30:00","Westpac Consumer Confidence","","","","2"
"Australia","20150610 02:50:00","RBA's Governor Glenn Stevens Speech","","","","3"
"France","20150610 06:45:00","Industrial Output (MoM)","","","","1"
"Italy","20150610 08:00:00","Industrial Output s.a. (MoM)","","","","1"
"Italy","20150610 08:00:00","Industrial Output w.d.a (YoY)","","","","1"
"United Kingdom","20150610 08:30:00","Manufacturing Production (YoY)","","","","2"
"United Kingdom","20150610 08:30:00","Industrial Production (MoM)","","","","2"
"United Kingdom","20150610 08:30:00","Manufacturing Production (MoM)","","","","2"
"United Kingdom","20150610 08:30:00","Industrial Production (YoY)","","","","2"
"Greece","20150610 09:00:00","Consumer Price Index - Harmonized (YoY)","","","","1"
"Greece","20150610 09:00:00","Consumer Price Index (YoY)","","","","1"
"United States","20150610 11:00:00","MBA Mortgage Applications","","","","1"
"India","20150610 11:30:00","Trade Deficit - RBI","","","","1"
"India","20150610 11:30:00","M3 Money Supply","","","","1"
"India","20150610 11:30:00","Balance Payment $","","","","1"
"India","20150610 11:30:00","Current Account Balance $","","","","1"
"United Kingdom","20150610 14:00:00","NIESR GDP Estimate (3M)","","","","3"
"European Monetary Union","20150610 14:00:00","NIESR GDP Estimate (3M)","","","","2"
"United States","20150610 14:30:00","EIA Crude Oil Stocks change","","","","1"
"United States","20150610 17:00:00","10-Year Note Auction","","","","2"
"United States","20150610 18:00:00","Monthly Budget Statement","","","","2"
"New Zealand","20150610 21:00:00","RBNZ Press Conference","","","","3"
"New Zealand","20150610 21:00:00","RBNZ Interest Rate Decision","","","","3"
"New Zealand","20150610 21:00:00",""Monetary Policy Statement "","","","","3"
"United Kingdom","20150610 23:01:00","RICS Housing Price Balance","","","","2"
"Japan","20150610 23:50:00","BSI Large Manufacturing (QoQ)","","","","1"
