"country","date","name","actual","consensus","previous","volatility"
"France","20170714 00:00:00","Bastille Day","","","","0"
"Japan","20170714 04:30:00","Industrial Production (YoY)","","","","2"
"Japan","20170714 04:30:00","Industrial Production (MoM)","","","","2"
"Japan","20170714 04:30:00","Capacity Utilization","","","","1"
"India","20170714 06:00:00","WPI Inflation","","","","1"
"Italy","20170714 08:00:00","Trade Balance EU","","","","1"
"Italy","20170714 08:00:00","Global Trade Balance","","","","1"
"Italy","20170714 08:00:00","Consumer Price Index (YoY)","","","","1"
"Italy","20170714 08:00:00","Consumer Price Index (EU Norm) (YoY)","","","","1"
"Italy","20170714 08:00:00","Consumer Price Index (EU Norm) (MoM)","","","","1"
"Italy","20170714 08:00:00","Consumer Price Index (MoM)","","","","1"
"European Monetary Union","20170714 10:00:00","Trade Balance s.a.","","","","2"
"European Monetary Union","20170714 10:00:00","Trade Balance n.s.a.","","","","2"
"India","20170714 11:00:00","Trade Deficit Government","","","","1"
" USD"","20170714 11:30:00",""FX Reserves","","","","India"
"Russia","20170714 12:00:00","Budget Fulfilment","","","","1"
"United States","20170714 12:30:00","Retail Sales ex Autos (MoM)","","","","2"
"United States","20170714 12:30:00","Retail Sales (MoM)","","","","3"
"United States","20170714 12:30:00","Retail Sales control group","","","","2"
"United States","20170714 12:30:00","Consumer Price Index Ex Food & Energy (MoM)","","","","2"
"United States","20170714 12:30:00","Consumer Price Index Ex Food & Energy (YoY)","","","","3"
"United States","20170714 12:30:00","Consumer Price Index (YoY)","","","","3"
"United States","20170714 12:30:00","Consumer Price Index Core s.a","","","","1"
"United States","20170714 12:30:00","Consumer Price Index (MoM)","","","","2"
"United States","20170714 12:30:00","Consumer Price Index n.s.a (MoM)","","","","1"
"United States","20170714 13:15:00","Capacity Utilization","","","","2"
"United States","20170714 13:15:00","Industrial Production (MoM)","","","","2"
"United States","20170714 13:30:00","FOMC Member Kaplan Speech","","","","1"
"United States","20170714 14:00:00","Michigan Consumer Sentiment Index","","","","1"
"United States","20170714 14:00:00","Business Inventories","","","","1"
"United States","20170714 19:30:00","CFTC USD NC net positions","","","","1"
"United States","20170714 19:30:00","CFTC Gold NC net positions","","","","1"
"United States","20170714 19:30:00","CFTC Oil NC net positions","","","","1"
"United Kingdom","20170714 19:30:00","CFTC GBP NC net positions","","","","1"
"Japan","20170714 19:30:00","CFTC JPY NC net positions","","","","1"
"European Monetary Union","20170714 19:30:00","CFTC EUR NC net positions","","","","1"
"Australia","20170714 19:30:00","CFTC AUD NC net positions","","","","1"
