"country","date","name","actual","consensus","previous","volatility"
"United Kingdom","20130121 00:01:00","Rightmove House Price Index (YoY)","","","1.400  %","2"
"Germany","20130121 07:00:00","Producer Price Index (YoY)","","1.700  %","1.400  %","2"
"Switzerland","20130121 08:15:00","Industrial Production (YoY)","","2.000  %","-1.100  %","2"
"European Monetary Union","20130121 09:00:00","Eurogrup meeting","","","","2"
"Russia","20130121 12:00:00","Producer Price Index (MoM)","","","-1.200  %","1"
"Russia","20130121 12:00:00","Producer Price Index (YoY)","","","6.700  %","1"
"Canada","20130121 13:30:00","Wholesale Sales (MoM)","","","0.900  %","1"
"Mexico","20130121 14:00:00","Jobless Rate","","","5.120  %","1"
"Mexico","20130121 14:00:00","Jobless Rate s.a","","","5.130  %","1"
"Argentina","20130121 21:00:00","Primary Budget Balance (MoM)","",""," -723.300 ","1"
