"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20160531 01:00:00","ANZ Activity Outlook","","","","1"
"New Zealand","20160531 01:00:00","ANZ Business Confidence","","","","1"
"Australia","20160531 01:30:00","Current Account Balance","","","","1"
"Australia","20160531 01:30:00","Producer Price Index (QoQ)","","","","1"
"Australia","20160531 01:30:00","Producer Price Index (YoY)","","","","1"
"Australia","20160531 01:30:00","Building Permits (YoY)","","","","1"
"Australia","20160531 01:30:00","Building Permits (MoM)","","","","1"
"Japan","20160531 05:00:00","Housing Starts (YoY)","","","","1"
"Japan","20160531 05:00:00","Construction Orders (YoY)","","","","1"
"Japan","20160531 05:00:00","Annualized Housing Starts","","","","1"
"Germany","20160531 06:00:00","Retail Sales (YoY)","","","","1"
"Germany","20160531 06:00:00","Retail Sales (MoM)","","","","1"
"France","20160531 06:45:00","Producer Prices (MoM)","","","","1"
"France","20160531 06:45:00","Consumer Price Index (EU norm) final (YoY)","","","","1"
"Spain","20160531 07:00:00","Current Account Balance","","","","1"
"Germany","20160531 07:55:00","Unemployment Change","","","","2"
"Germany","20160531 07:55:00","Unemployment Rate s.a.","","","","2"
"Italy","20160531 08:00:00","Unemployment","","","","2"
"European Monetary Union","20160531 08:00:00","Private loans (YoY)","","","","1"
"European Monetary Union","20160531 08:00:00","M3 Money Supply (3m)","","","","1"
"European Monetary Union","20160531 08:00:00","M3 Money Supply (YoY)","","","","1"
"Italy","20160531 09:00:00","Consumer Price Index (YoY)","","","","1"
"Italy","20160531 09:00:00","Consumer Price Index (EU Norm) (YoY)","","","","1"
"Italy","20160531 09:00:00","Consumer Price Index (EU Norm) (MoM)","","","","1"
"Italy","20160531 09:00:00","Consumer Price Index (MoM)","","","","1"
"Greece","20160531 09:00:00","Retail Sales (YoY)","","","","1"
"European Monetary Union","20160531 09:00:00","Unemployment Rate","","","","2"
"European Monetary Union","20160531 09:00:00","Consumer Price Index (YoY)","","","","3"
"European Monetary Union","20160531 09:00:00","Consumer Price Index - Core (YoY)","","","","3"
"Italy","20160531 10:00:00","Gross Domestic Product (QoQ)","","","","2"
"Italy","20160531 10:00:00","Gross Domestic Product (YoY)","","","","2"
"Portugal","20160531 10:00:00","Gross Domestic Product (YoY)","","","","1"
"Portugal","20160531 10:00:00","Gross Domestic Product (QoQ)","","","","1"
" INR"","20160531 10:30:00",""Federal Fiscal Deficit","","","","India"
"India","20160531 12:00:00","Gross Domestic Product Quarterly (YoY)","","","","1"
"United States","20160531 12:30:00","Personal Income (MoM)","","","","2"
"United States","20160531 12:30:00","Core Personal Consumption Expenditure - Price Index (MoM)","","","","2"
"United States","20160531 12:30:00","Personal Consumption Expenditures - Price Index (YoY)","","","","2"
"United States","20160531 12:30:00","Personal Consumption Expenditures - Price Index (MoM)","","","","2"
"United States","20160531 12:30:00","Personal Spending","","","","2"
"United States","20160531 12:30:00","Core Personal Consumption Expenditure - Price Index (YoY)","","","","2"
"Canada","20160531 12:30:00","Gross Domestic Product Annualized (QoQ)","","","","2"
"Canada","20160531 12:30:00","Gross Domestic Product (MoM)","","","","2"
"United States","20160531 13:00:00","S&P/Case-Shiller Home Price Indices (YoY)","","","","2"
"United States","20160531 13:45:00","Chicago Purchasing Managers' Index","","","","2"
"United States","20160531 14:00:00","Consumer Confidence","","","","2"
"United States","20160531 15:30:00","3-Month Bill Auction","","","","1"
"United States","20160531 15:30:00","6-Month Bill Auction","","","","1"
"United States","20160531 20:30:00","API Weekly Crude Oil Stock","","","","1"
"New Zealand","20160531 22:45:00","Terms of Trade Index","","","","1"
"United Kingdom","20160531 23:01:00","BRC Shop Price Index (MoM)","","","","1"
"Australia","20160531 23:30:00","AiG Performance of Mfg Index","","","","2"
"Japan","20160531 23:50:00","Capital Spending","","","","1"
"Japan","20160531 23:50:00","Monetary Base (YoY)","","","","1"
