"country","date","name","actual","consensus","previous","volatility"
"Australia","20130905 01:30:00","Trade Balance",""," 110.000 "," 602.000 ","2"
"Japan","20130905 03:00:00","BoJ Interest Rate Decision","","0.100  %","0.100  %","2"
"Japan","20130905 03:00:00","BoJ Monetary Policy Statement ","","","","2"
"Japan","20130905 03:00:00","BoJ Press Conference","","","","2"
"Germany","20130905 10:00:00","Factory Orders n.s.a. (YoY)","","2.700  %","4.300  %","2"
"United Kingdom","20130905 11:00:00","BoE Asset Purchase Facility","","£ 375.000 ","£ 375.000 ","2"
"European Monetary Union","20130905 11:00:00","BoE Asset Purchase Facility","","£ 375.000 ","£ 375.000 ","2"
"United Kingdom","20130905 11:00:00","BoE Interest Rate Decision","","0.500  %","0.500  %","2"
"European Monetary Union","20130905 11:00:00","BoE Interest Rate Decision","","0.500  %","0.500  %","2"
"European Monetary Union","20130905 11:45:00","ECB Interest Rate Decision","","0.500  %","0.500  %","2"
"United States","20130905 12:15:00","ADP Employment Change",""," 180.000 "," 200.000 ","2"
"European Monetary Union","20130905 12:30:00","ECB Monetary policy statement and press conference","","","","3"
"United States","20130905 12:30:00","Initial Jobless Claims",""," 330.000 "," 331.000 ","2"
"United States","20130905 12:30:00","Continuing Jobless Claims",""," 2.980 "," 2.989 ","1"
"United States","20130905 12:30:00","Nonfarm Productivity","","1.500  %","-1.700  %","1"
"United States","20130905 12:30:00","Unit Labor Costs","","0.800  %","-4.200  %","1"
"United States","20130905 13:00:00","Fed Minneapolis's Narayana Kocherlakota speech ","","","","1"
"United States","20130905 14:00:00","Factory Orders (MoM)","","-3.300  %","1.500  %","2"
"United States","20130905 14:00:00","ISM Non-Manufacturing PMI",""," 55.000 "," 56.000 ","2"
"United States","20130905 14:30:00","EIA Natural Gas Storage change","",""," 67.000 ","1"
"United States","20130905 15:00:00","EIA Crude Oil Stocks change",""," -1.900 "," 2.986 ","1"
"Austria","20130905 22:00:00","Trade Balance","","","€ -171.600 ","1"
"Australia","20130905 23:30:00","AiG Performance of Construction Index","",""," 44.100 ","2"
