"country","date","name","actual","consensus","previous","volatility"
"Japan","20120429 n/a:00","Showa Day","","","","0"
"Korea, Republic of","20120429 21:00:00","BOK Manufacturing BSI","",""," 84.000 ","1"
"New Zealand","20120429 22:45:00","Building Permits s.a. (MoM)","","","-6.700  %","1"
"New Zealand","20120429 22:45:00","Trade Balance",""," 420.000 "," 161.000 ","2"
"Korea, Republic of","20120429 23:00:00","Industrial Output (YoY)","","","14.400  %","1"
"Korea, Republic of","20120429 23:00:00","Industrial Output Growth","","","0.800  %","1"
"Korea, Republic of","20120429 23:00:00","Service Sector Output","","","0.900  %","1"
"Japan","20120429 23:15:00","Nomura/ JMMA Manufacturing Purchasing Manager Index","",""," 51.100 ","2"
