"country","date","name","actual","consensus","previous","volatility"
"Brazil","20171225 00:00:00","Christmas Day","","","","0"
"Mexico","20171225 00:00:00",""Christmas Day "","","","","0"
"Spain","20171225 00:00:00","Christmas Day","","","","0"
"United Kingdom","20171225 00:00:00","Christmas Day","","","","0"
"Greece","20171225 00:00:00",""Christmas Day "","","","","0"
"New Zealand","20171225 00:00:00","Christmas Day","","","","0"
"Switzerland","20171225 00:00:00","Christmas Day","","","","0"
"Canada","20171225 00:00:00","Christmas Day","","","","0"
"Australia","20171225 00:00:00","Christmas Day","","","","0"
"France","20171225 00:00:00","Christmas Day","","","","0"
"Italy","20171225 09:30:00","5-y Bond Auction","","","","1"
"Japan","20171225 23:30:00","Tokyo CPI ex Fresh Food (YoY)","","","","1"
"Japan","20171225 23:30:00","Tokyo Consumer Price Index (YoY)","","","","1"
" Energy (YoY)"","20171225 23:30:00",""Tokyo CPI ex Food","","","","Japan"
"Japan","20171225 23:30:00","National CPI Ex-Fresh Food (YoY)","","","","2"
"Japan","20171225 23:30:00","National Consumer Price Index (YoY)","","","","2"
" Energy (YoY)"","20171225 23:30:00",""National CPI Ex Food","","","","Japan"
"Japan","20171225 23:30:00","Jobs/applicants ratio","","","","2"
"Japan","20171225 23:30:00","Unemployment Rate","","","","2"
"Japan","20171225 23:30:00","Overall Household Spending (YoY)","","","","2"
"Japan","20171225 23:50:00","Corporate Service Price (YoY)","","","","1"
"Japan","20171225 23:50:00","BoJ Monetary Policy Meeting Minutes","","","","3"
