"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20141112 01:00:00","REINZ House Price Index (MoM)","","","0.200  %","2"
"China","20141112 02:00:00","New Loans",""," 650.000 "," 857.200 ","2"
"United Kingdom","20141112 09:30:00","Claimant Count Change",""," -22.000 "," -18.600 ","2"
"United Kingdom","20141112 09:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","1.100  %","0.900  %","2"
"United Kingdom","20141112 09:30:00","Average Earnings including Bonus (3Mo/Yr)","","0.800  %","0.700  %","2"
"United Kingdom","20141112 09:30:00","Claimant Count Rate","","","2.800  %","2"
"United Kingdom","20141112 09:30:00","ILO Unemployment Rate (3M)","","5.900  %","6.000  %","2"
"United Kingdom","20141112 10:00:00","CB Leading Economic Index","","","0.400  %","1"
"European Monetary Union","20141112 10:00:00","Industrial Production w.d.a. (YoY)","","-0.300  %","-1.900  %","2"
"United Kingdom","20141112 10:30:00","Bank of England Quarterly Inflation Report","","","","2"
"European Monetary Union","20141112 10:30:00","Bank of England Quarterly Inflation Report","","","","2"
"United States","20141112 15:00:00","Wholesale Inventories","","0.200  %","0.700  %","2"
"United States","20141112 16:30:00","4-Week Bill Auction","","","0.035  %","1"
"United States","20141112 16:30:00","52-Week Bill auction","","","0.100  %","1"
"United States","20141112 17:00:00","Fed Minneapolis's Narayana Kocherlakota speech ","","","","1"
"United States","20141112 18:00:00","10-Year Note Auction","","","2.381  %","1"
"New Zealand","20141112 21:30:00","Business NZ PMI","",""," 58.100 ","2"
"New Zealand","20141112 21:45:00","Food Price Index (MoM)","","","-0.800  %","1"
"Japan","20141112 23:50:00","Domestic Corporate Goods Price Index (YoY)","","3.300  %","3.500  %","1"
"Japan","20141112 23:50:00","Domestic Corporate Goods Price Index (MoM)","","-0.400  %","-0.100  %","1"
"Japan","20141112 23:50:00","Foreign bond investment","","","¥ 806.600 ","2"
"Japan","20141112 23:50:00","Foreign investment in Japan stocks","","","¥ 904.700 ","2"
"Japan","20141112 23:50:00","Machinery Orders (YoY)","","-1.300  %","-3.300  %","2"
"Japan","20141112 23:50:00","Machinery Orders (MoM)","","-1.900  %","4.700  %","2"
