"country","date","name","actual","consensus","previous","volatility"
"Canada","20160523 00:00:00","Victoria Day","","","","0"
"Japan","20160523 01:30:00",""BOJ Deputy Governor Nakaso Speech "","","","","1"
"Japan","20160523 02:00:00","Nikkei Manufacturing PMI","","","","2"
"Japan","20160523 04:30:00","All Industry Activity Index (MoM)","","","","2"
"Japan","20160523 05:00:00","Coincident Index","","","","2"
"Japan","20160523 05:00:00","Leading Economic Index","","","","2"
"France","20160523 07:50:00","Markit Manufacturing PMI","","","","1"
"France","20160523 07:50:00","Markit PMI Composite","","","","1"
"France","20160523 07:50:00","Markit Services PMI","","","","1"
"Germany","20160523 07:55:00","Markit PMI Composite","","","","1"
"Germany","20160523 07:55:00","Markit Services PMI","","","","1"
"Germany","20160523 07:55:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20160523 08:00:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20160523 08:00:00","Markit Services PMI","","","","2"
"European Monetary Union","20160523 08:00:00","Markit PMI Composite","","","","2"
"United States","20160523 10:15:00","Fed's Bullard speech","","","","1"
"United States","20160523 12:00:00","FOMC Member Williams speech","","","","1"
"United States","20160523 13:45:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20160523 14:00:00","Consumer Confidence","","","","1"
"Australia","20160523 14:30:00","CB Leading Indicator","","","","1"
"United States","20160523 15:30:00","3-Month Bill Auction","","","","1"
"United States","20160523 15:30:00","6-Month Bill Auction","","","","1"
"United States","20160523 22:30:00","FOMC Member Harker Speech","","","","1"
