"country","date","name","actual","consensus","previous","volatility"
"Italy","20170317 09:00:00","Global Trade Balance","","","","1"
"Italy","20170317 09:00:00","Trade Balance EU","","","","1"
"European Monetary Union","20170317 10:00:00","Trade Balance n.s.a.","","","","2"
"European Monetary Union","20170317 10:00:00","Trade Balance s.a.","","","","2"
"European Monetary Union","20170317 11:00:00","Construction Output  s.a (MoM)","","","","1"
"European Monetary Union","20170317 11:00:00","Construction Output w.d.a (YoY)","","","","1"
"India","20170317 11:30:00","Trade Deficit - RBI","","","","1"
"India","20170317 11:30:00","Balance Payment $","","","","1"
"India","20170317 11:30:00","Bank Loan Growth","","","","1"
"India","20170317 11:30:00","Current Account Balance $","","","","1"
" USD"","20170317 11:30:00",""FX Reserves","","","","India"
"United States","20170317 12:00:00","Trump-Merkel meeting","","","","2"
"United Kingdom","20170317 12:00:00","BoE Quarterly Bulletin","","","","1"
"European Monetary Union","20170317 12:00:00","G20 Meeting","","","","2"
"Canada","20170317 12:30:00","Manufacturing Shipments (MoM)","","","","1"
"United States","20170317 13:15:00","Industrial Production (MoM)","","","","2"
"United States","20170317 13:15:00","Capacity Utilization","","","","2"
"United States","20170317 14:00:00","Michigan Consumer Sentiment Index","","","","1"
"United States","20170317 14:00:00","CB Leading Indicator (MoM)","","","","2"
"United States","20170317 15:00:00","Labor Market Conditions Index","","","","2"
"United States","20170317 18:00:00","Baker Hughes US Oil Rig Count","","","","1"
"United States","20170317 20:30:00","CFTC Gold NC net positions","","","","1"
"United States","20170317 20:30:00","CFTC USD NC net positions","","","","1"
"United States","20170317 20:30:00","CFTC Oil NC net positions","","","","1"
"United Kingdom","20170317 20:30:00","CFTC GBP NC net positions","","","","1"
"Japan","20170317 20:30:00","CFTC JPY NC net positions","","","","1"
"European Monetary Union","20170317 20:30:00","CFTC EUR NC net positions","","","","1"
"Australia","20170317 20:30:00","CFTC AUD NC net positions","","","","1"
