"country","date","name","actual","consensus","previous","volatility"
"Japan","20130408 05:00:00","Eco Watchers Survey: Outlook","",""," 57.700 ","2"
"Japan","20130408 05:00:00","Eco Watchers Survey: Current",""," 56.300 "," 53.200 ","2"
"Switzerland","20130408 07:15:00","Industrial Production (QoQ)","","","7.900  %","2"
"European Monetary Union","20130408 08:30:00","Sentix Investor Confidence",""," -13.100 "," -10.600 ","2"
"Germany","20130408 10:00:00","Industrial Production s.a. w.d.a. (YoY)","","","-1.300  %","2"
"United States","20130408 12:30:00","FOMC Member Pianalto Speech","","","","1"
"Chile","20130408 13:00:00","Consumer Price Index (Inflation) (MoM)","","","0.100  %","1"
"Chile","20130408 13:30:00","Trade Balance","","","$ 68.000 ","1"
"Canada","20130408 14:30:00","Bank of Canada Business Outlook Survey","","","","2"
"Hungary","20130408 15:00:00","Budget Balance","",""," -2.500 ","1"
"New Zealand","20130408 22:00:00","NZIER Business Confidence (QoQ)","",""," 20.000 ","1"
"United Kingdom","20130408 23:01:00","BRC Retail Sales Monitor - All (YoY)","","","2.700  %","1"
"United Kingdom","20130408 23:01:00","RICS Housing Price Balance","","-4.000  %","-6.000  %","2"
"United States","20130408 23:15:00","Fed's Bernanke Speech","","","","2"
"Japan","20130408 23:50:00","BoJ Monetary Policy Meeting Minutes","","","","3"
