"country","date","name","actual","consensus","previous","volatility"
"European Monetary Union","20120629 n/a:00","European Council meeting","","","","3"
"Peru","20120629 n/a:00","St Peter and St Paul's Day","","","","0"
"Australia","20120629 01:30:00","Private Sector Credit (MoM)","0.500  %","0.500  %","0.400  %","2"
"Australia","20120629 01:30:00","Private Sector Credit (YoY)","4.000  %","3.900  %","3.800  %","2"
"New Zealand","20120629 03:00:00","M3 Money Supply (YoY)","6.100  %","","6.200  %","1"
"Japan","20120629 04:00:00","Vehicle Production (YoY)","59.500  %","","173.800  %","1"
"Japan","20120629 05:00:00","Housing Starts (YoY)","","6.700  %","10.300  %","2"
"Japan","20120629 05:00:00","Annualized Housing Starts",""," 0.882 "," 0.896 ","2"
"Japan","20120629 05:00:00","Construction Orders (YoY)","","","16.200  %","1"
"France","20120629 05:30:00","Gross Domestic Product (QoQ)","","","0.100  %","1"
"South Africa","20120629 06:00:00","M3 Money Supply (YoY)","","","6.160  %","1"
"South Africa","20120629 06:00:00","Private Sector Credit","","","7.330  %","1"
"Germany","20120629 06:00:00","Retail Sales (YoY)","","1.000  %","-3.800  %","2"
"Germany","20120629 06:00:00","Retail Sales (MoM)","","0.000  %","0.600  %","1"
"Hungary","20120629 06:30:00","Current Account Balance (QoQ)","",""," 0.149 ","1"
"France","20120629 06:45:00","Consumer Spending (MoM)","","0.000  %","0.600  %","1"
"France","20120629 06:45:00","Producer Prices (MoM)","","-0.500  %","0.000  %","1"
"Denmark","20120629 07:00:00","Gross Domestic Product - Revised (YoY)","","","0.200  %","1"
"Denmark","20120629 07:00:00","Gross Domestic Product (QoQ)","","","0.300  %","1"
"Switzerland","20120629 07:00:00","KOF Leading Indicator",""," 0.850 "," 0.810 ","2"
"Turkey","20120629 07:00:00","Trade Balance","",""," -6.600 ","1"
"Spain","20120629 08:00:00","Current Account Balance","","","€ -3.200 ","1"
"Czech Republic","20120629 08:00:00","Foreign Debt","",""," 72.580 ","1"
"Czech Republic","20120629 08:00:00","M2 Money Supply (YoY)","","","6.500  %","1"
"European Monetary Union","20120629 08:00:00","M3 Money Supply (3m)","","2.300  %","2.700  %","1"
"European Monetary Union","20120629 08:00:00","M3 Money Supply (YoY)","","2.300  %","2.500  %","1"
"Austria","20120629 08:00:00","Producer Price Index (MoM)","",""," 0.200 ","1"
"Austria","20120629 08:00:00","Producer Price Index (YoY)","",""," 1.100 ","1"
"Norway","20120629 08:00:00","Retail Sales ","","","-0.200  %","1"
"United Kingdom","20120629 08:30:00","Index of Services (3M/3M)","","0.300  %","0.100  %","1"
"European Monetary Union","20120629 09:00:00","Consumer Price Index (YoY)","","2.400  %","2.400  %","2"
"Greece","20120629 09:00:00","Producer Price Index (YoY)","","","5.100  %","1"
"Greece","20120629 09:00:00","Retail Sales (YoY)","","","-16.200  %","1"
"United Kingdom","20120629 09:30:00","BoE's Governor King Speech","","","","2"
"United Kingdom","20120629 09:30:00","Financial Stability Report","","","","2"
"India","20120629 11:30:00","Balance Payment $","","","$ -12.800 ","1"
"India","20120629 11:30:00","Bank Loan Growth","","","18.300  %","1"
"India","20120629 11:30:00","Current Account Balance $","","","","1"
"India","20120629 11:30:00","External Debt","",""," 334.900 ","1"
"India","20120629 11:30:00","FX Reserves, USD","","","$ 289.400 ","1"
"India","20120629 11:30:00","Trade Deficit - RBI","",""," -47.700 ","1"
"South Africa","20120629 12:00:00","Trade Balance (in Rands)","",""," -9.900 ","1"
"Canada","20120629 12:30:00","Gross Domestic Product (MoM)","","0.200  %","0.100  %","2"
"Canada","20120629 12:30:00","Gross Domestic Product (YoY) ","","","1.600  %","2"
"Canada","20120629 12:30:00","Industrial Product Price (MoM)","","-0.100  %","0.000  %","1"
"Canada","20120629 12:30:00","Raw Material Price Index","","-2.000  %","-2.000  %","1"
"United States","20120629 12:30:00","Personal Income (MoM)","","-0.200  %","0.200  %","2"
"United States","20120629 12:30:00","Core Personal Consumption Expenditure - Price Index (MoM)","","0.200  %","0.100  %","2"
"United States","20120629 12:30:00","Core Personal Consumption Expenditure - Prices Index (YoY)","","1.800  %","1.800  %","2"
"United States","20120629 12:30:00","Personal Consumption Expenditure - Price Index (YoY)","","1.500  %","1.800  %","1"
"United States","20120629 12:30:00","Personal Consumption Expenditures - Price Index (MoM)","","0.100  %","0.000  %","1"
"United States","20120629 12:30:00","Personal Spending","","","0.300  %","2"
"Chile","20120629 13:00:00","Unemployment rate","","","","1"
"United States","20120629 13:05:00","Fed's Bullard speech","","","","1"
"United States","20120629 13:45:00","Chicago Purchasing Managers' Index",""," 52.500 "," 52.700 ","1"
"United States","20120629 13:55:00","Reuters/Michigan Consumer Sentiment Index",""," 74.100 "," 74.100 ","2"
"Colombia","20120629 15:00:00","Interest rate","","","","1"
"Colombia","20120629 17:00:00","National Jobless Rate","","","10.900  %","1"
"Mexico","20120629 19:30:00","Fiscal Balance, pesos","",""," 8.200 ","1"
