"country","date","name","actual","consensus","previous","volatility"
"Australia","20150407 01:30:00","ANZ Job Advertisements","-1.400  %","","0.900  %","1"
"Australia","20150407 01:30:00","Retail Sales s.a. (MoM)","0.700  %","0.400  %","0.500  %","2"
"Australia","20150407 04:30:00","RBA Interest Rate Decision","2.250  %","2.250  %","2.250  %","3"
"Australia","20150407 04:30:00","RBA Rate Statement","","","","3"
"Ireland","20150407 05:00:00","Purchasing Manager Index Services"," 60.900 ",""," 61.400 ","1"
"India","20150407 05:30:00","Cash Reserve Ratio","4.000  %","","4.000  %","1"
"India","20150407 05:30:00","RBI Interest Rate Decision (Repo Rate)","7.500  %","","7.500  %","1"
"India","20150407 05:30:00","Reverse Repo Rate","6.500  %","","6.750  %","1"
"Finland","20150407 06:00:00","Trade Balance","€ -0.200 B","","€ -0.285 B","1"
"United Kingdom","20150407 08:30:00","Markit Services PMI"," 58.900 "," 57.000 "," 56.700 ","2"
"Poland","20150407 12:00:00","Central Bank FX Reserves","€ 90.500 B","","€ 86.800 B","1"
"Chile","20150407 12:30:00","Trade Balance","$ 999.000 M","","$ 748.000 M","1"
"United States","20150407 12:50:00","Fed Minneapolis's Narayana Kocherlakota speech ","","","","1"
"United States","20150407 12:55:00","Redbook index (YoY)","3.400  %","","3.000  %","1"
"United States","20150407 12:55:00","Redbook index (MoM)","1.300  %","","1.200  %","1"
"Denmark","20150407 14:00:00","Currency Reserves","",""," 737.100 ","1"
"United States","20150407 14:00:00","IBD/TIPP Economic Optimism (MoM)",""," 49.100 "," 49.100 ","1"
"United States","20150407 14:00:00","JOLTS Job Openings",""," 5.010 "," 4.998 ","1"
"Turkey","20150407 14:30:00","Treasury Cash Balance","",""," -8.460 ","1"
"United States","20150407 15:30:00","4-Week Bill Auction","","","0.050  %","1"
"United States","20150407 17:00:00","3-Year Note Auction","","","1.104  %","1"
"United States","20150407 19:00:00","Consumer Credit Change","","$ 12.500 ","$ 11.560 ","2"
"United Kingdom","20150407 23:01:00","BRC Shop Price Index (MoM)","","","-1.700  %","1"
"Japan","20150407 23:50:00","Trade Balance - BOP Basis","","","¥ -864.200 ","2"
"Japan","20150407 23:50:00","Current Account n.s.a.","","¥ 1,150.000 ","¥ 61.400 ","1"
