"country","date","name","actual","consensus","previous","volatility"
"Germany","20130925 06:00:00","Gfk Consumer Confidence Survey",""," 7.000 "," 6.900 ","2"
"Switzerland","20130925 06:00:00","UBS Consumption Indicator","",""," 1.410 ","2"
"United Kingdom","20130925 10:00:00","CBI Distributive Trades Survey - Realized (MoM)","",""," 27.000 ","2"
"United States","20130925 12:30:00","Durable Goods Orders","","0.200  %","-7.300  %","3"
"United States","20130925 12:30:00","Durable Goods Orders ex Transportation","","1.000  %","-0.600  %","2"
"United States","20130925 14:00:00","New Home Sales (MoM)",""," 0.420 "," 0.394 ","2"
"United States","20130925 14:00:00","New Home Sales Change (MoM)","","","-13.400  %","1"
"United States","20130925 14:30:00","EIA Crude Oil Stocks change","",""," -4.368 ","1"
"United States","20130925 17:00:00","5-Year Note Auction","","","1.624  %","1"
