"country","date","name","actual","consensus","previous","volatility"
"Australia","20141204 00:30:00","Retail Sales s.a. (MoM)","","0.000  %","1.200  %","2"
"Australia","20141204 00:30:00","Trade Balance",""," -1,900.000 "," -2,261.000 ","2"
"France","20141204 06:30:00","ILO Unemployment","","","10.200  %","2"
"United Kingdom","20141204 08:00:00","Halifax House Prices (3m/YoY)","","8.000  %","8.800  %","1"
"United Kingdom","20141204 08:00:00","Halifax House Prices (MoM)","","0.300  %","-0.400  %","1"
"United Kingdom","20141204 12:00:00","BoE Interest Rate Decision","","0.500  %","0.500  %","2"
"European Monetary Union","20141204 12:00:00","BoE Interest Rate Decision","","0.500  %","0.500  %","2"
"United Kingdom","20141204 12:00:00","BoE Asset Purchase Facility","","£ 375.000 ","£ 375.000 ","2"
"European Monetary Union","20141204 12:00:00","BoE Asset Purchase Facility","","£ 375.000 ","£ 375.000 ","2"
"United Kingdom","20141204 12:00:00","BoE Monetary Policy Statement","","","","2"
"European Monetary Union","20141204 12:00:00","BoE Monetary Policy Statement","","","","2"
"European Monetary Union","20141204 12:45:00","ECB Interest Rate Decision","","0.050  %","0.050  %","2"
"European Monetary Union","20141204 13:30:00","ECB Monetary policy statement and press conference","","","","3"
"United States","20141204 13:30:00","FOMC Member Mester speech","","","","1"
"United States","20141204 13:30:00","Initial Jobless Claims",""," 295.000 "," 313.000 ","2"
"United States","20141204 13:30:00","Continuing Jobless Claims",""," 2.328 "," 2.316 ","2"
"Canada","20141204 15:00:00","Ivey Purchasing Managers Index","",""," 54.200 ","2"
"Canada","20141204 15:00:00","Ivey Purchasing Managers Index s.a",""," 52.500 "," 51.200 ","2"
"United States","20141204 15:30:00","EIA Natural Gas Storage change",""," -51.000 "," -162.000 ","1"
"Australia","20141204 22:30:00","AiG Performance of Construction Index","",""," 53.400 ","2"
"Japan","20141204 23:50:00","JP Foreign Reserves","","","$ 1,265.900 ","1"
