"country","date","name","actual","consensus","previous","volatility"
"India","20170224 00:00:00",""Maha Shivratri "","","","","0"
"Russia","20170224 00:00:00","Public holiday","","","","0"
"France","20170224 07:45:00","Consumer Confidence","","","","1"
"Spain","20170224 08:00:00","Producer Price Index (YoY)","","","","1"
"Italy","20170224 09:00:00","Industrial Sales n.s.a. (YoY)","","","","1"
"Italy","20170224 09:00:00","Industrial Sales s.a. (MoM)","","","","1"
"Italy","20170224 09:00:00","Industrial Orders s.a (MoM)","","","","1"
"Italy","20170224 09:00:00","Industrial Orders n.s.a (YoY)","","","","1"
"United Kingdom","20170224 09:30:00","BBA Mortgage Approvals","","","","1"
"Italy","20170224 10:00:00","Consumer Confidence","","","","1"
"Italy","20170224 10:00:00","Business Confidence","","","","1"
"Greece","20170224 10:00:00","Producer Price Index (YoY)","","","","1"
"Brazil","20170224 11:00:00","Unemployment Rate","","","","1"
" USD"","20170224 11:30:00",""FX Reserves","","","","India"
"Brazil","20170224 12:30:00","Nominal Budget Balance","","","","1"
"Brazil","20170224 12:30:00","Primary Budget Surplus","","","","1"
"Russia","20170224 13:00:00","Gross Domestic Product Monthly (YoY)","","","","1"
"Canada","20170224 13:30:00","Consumer Price Index (MoM)","","","","2"
"Canada","20170224 13:30:00","Bank of Canada Consumer Price Index Core (YoY)","","","","2"
"Canada","20170224 13:30:00","Bank of Canada Consumer Price Index Core (MoM)","","","","2"
"Canada","20170224 13:30:00","Consumer Price Index - Core (MoM)","","","","2"
"Canada","20170224 13:30:00","Consumer Price Index (YoY)","","","","2"
"Mexico","20170224 14:00:00","Retail Sales (YoY)","","","","1"
"Mexico","20170224 14:00:00","Retail Sales (MoM)","","","","1"
"United States","20170224 15:00:00","Michigan Consumer Sentiment Index","","","","1"
"United States","20170224 15:00:00","New Home Sales Change (MoM)","","","","2"
"United States","20170224 15:00:00","New Home Sales (MoM)","","","","2"
" $ (QoQ)"","20170224 15:00:00",""Current Account","","","","Mexico"
"United States","20170224 18:00:00","Baker Hughes US Oil Rig Count","","","","2"
"United States","20170224 20:30:00","CFTC Gold NC net positions","","","","1"
"United States","20170224 20:30:00","CFTC USD NC net positions","","","","1"
"United States","20170224 20:30:00","CFTC Oil NC net positions","","","","1"
"United Kingdom","20170224 20:30:00","CFTC GBP NC net positions","","","","1"
"Japan","20170224 20:30:00","CFTC JPY NC net positions","","","","1"
"European Monetary Union","20170224 20:30:00","CFTC EUR NC net positions","","","","1"
"Australia","20170224 20:30:00","CFTC AUD NC net positions","","","","1"
