"country","date","name","actual","consensus","previous","volatility"
"Australia","20170809 00:30:00","Westpac Consumer Confidence","","","","2"
"China","20170809 01:30:00","Producer Price Index (YoY)","","","","2"
"China","20170809 01:30:00","Consumer Price Index (MoM)","","","","2"
"China","20170809 01:30:00","Consumer Price Index (YoY)","","","","2"
"Australia","20170809 01:30:00","Investment Lending for Homes","","","","2"
"Australia","20170809 01:30:00","Home Loans","","","","2"
"Japan","20170809 06:00:00","Machine Tool Orders (YoY)","","","","1"
"Italy","20170809 08:00:00","Industrial Output s.a. (MoM)","","","","1"
"Italy","20170809 08:00:00","Industrial Output w.d.a (YoY)","","","","1"
"Greece","20170809 09:00:00","Consumer Price Index - Harmonized (YoY)","","","","1"
"Greece","20170809 09:00:00","Consumer Price Index (YoY)","","","","1"
"United Kingdom","20170809 10:00:00","Inflation Report Hearings","","","","3"
"European Monetary Union","20170809 10:00:00","Inflation Report Hearings","","","","2"
"Portugal","20170809 10:00:00","Global Trade Balance","","","","1"
"Portugal","20170809 10:00:00","Unemployment Rate","","","","1"
"United States","20170809 11:00:00","MBA Mortgage Applications","","","","1"
"Brazil","20170809 12:00:00","IPCA Inflation","","","","1"
"Canada","20170809 12:15:00","Housing Starts s.a (YoY)","","","","2"
"United States","20170809 12:30:00","Unit Labor Costs","","","","2"
"United States","20170809 12:30:00","Nonfarm Productivity","","","","2"
"Canada","20170809 12:30:00","Building Permits (MoM)","","","","1"
"Mexico","20170809 13:00:00","Core Inflation","","","","1"
"Mexico","20170809 13:00:00","Headline Inflation","","","","1"
"Mexico","20170809 13:00:00","12-Month Inflation","","","","1"
"United States","20170809 14:00:00","Wholesale Inventories","","","","1"
"United States","20170809 14:30:00","EIA Crude Oil Stocks change","","","","1"
"United States","20170809 17:00:00","10-Year Note Auction","","","","1"
"New Zealand","20170809 21:00:00","RBNZ Rate Statement","","","","3"
"New Zealand","20170809 21:00:00","RBNZ Interest Rate Decision","","","","3"
"New Zealand","20170809 21:00:00",""Monetary Policy Statement "","","","","3"
"New Zealand","20170809 22:00:00","RBNZ Press Conference","","","","3"
"New Zealand","20170809 22:45:00","Electronic Card Retail Sales  (MoM)","","","","2"
"New Zealand","20170809 22:45:00","Electronic Card Retail Sales (YoY)","","","","2"
"United Kingdom","20170809 23:01:00","RICS Housing Price Balance","","","","2"
"Japan","20170809 23:50:00","Domestic Corporate Goods Price Index (MoM)","","","","1"
"Japan","20170809 23:50:00","Domestic Corporate Goods Price Index (YoY)","","","","1"
"Japan","20170809 23:50:00","Foreign bond investment","","","","2"
"Japan","20170809 23:50:00","Foreign investment in Japan stocks","","","","2"
"Japan","20170809 23:50:00","Machinery Orders (MoM)","","","","2"
"Japan","20170809 23:50:00","Machinery Orders (YoY)","","","","2"
