"country","date","name","actual","consensus","previous","volatility"
"United States","20160217 00:00:00","Federal Reserve Bank of Boston President Rosengren Speech","","","","1"
"China","20160217 06:00:00","CB Leading Economic Index","","","","1"
"European Monetary Union","20160217 08:00:00","Non-monetary policy's ECB meeting","","","","3"
"United Kingdom","20160217 09:30:00","Claimant Count Change","","","","2"
"United Kingdom","20160217 09:30:00","Average Earnings including Bonus (3Mo/Yr)","","","","2"
"United Kingdom","20160217 09:30:00","ILO Unemployment Rate (3M)","","","","2"
"United Kingdom","20160217 09:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","","","2"
"United Kingdom","20160217 09:30:00","Claimant Count Rate","","","","2"
"Germany","20160217 10:00:00","10-y Bond Auction","","","","2"
"Greece","20160217 10:00:00","Consumer Price Index (YoY)","","","","1"
"Greece","20160217 10:00:00","Consumer Price Index - Harmonized (YoY)","","","","1"
"European Monetary Union","20160217 10:00:00","Trade Balance n.s.a.","","","","2"
"European Monetary Union","20160217 10:00:00","Trade Balance s.a.","","","","2"
"European Monetary Union","20160217 10:00:00","Construction Output  s.a (MoM)","","","","1"
"European Monetary Union","20160217 10:00:00","Construction Output w.d.a (YoY)","","","","1"
"Switzerland","20160217 10:00:00","ZEW Survey - Expectations","","","","2"
"United States","20160217 12:00:00","MBA Mortgage Applications","","","","1"
"India","20160217 12:30:00","M3 Money Supply","","","","1"
"United States","20160217 13:30:00","Housing Starts (MoM)","","","","2"
"United States","20160217 13:30:00","Building Permits (MoM)","","","","2"
"United States","20160217 13:30:00","Producer Price Index (YoY)","","","","1"
"United States","20160217 13:30:00","Producer Price Index ex Food & Energy (MoM)","","","","1"
"United States","20160217 13:30:00","Producer Price Index ex Food & Energy (YoY)","","","","1"
"United States","20160217 13:30:00","Producer Price Index (MoM)","","","","1"
"Canada","20160217 13:30:00","Foreign portfolio investment in Canadian securities","","","","1"
"Canada","20160217 13:30:00","Canadian portfolio investment in foreign securities","","","","1"
"United States","20160217 13:55:00","Redbook index (MoM)","","","","1"
"United States","20160217 13:55:00","Redbook index (YoY)","","","","1"
"United States","20160217 14:15:00","Industrial Production (MoM)","","","","2"
"United States","20160217 14:15:00","Capacity Utilization","","","","2"
"United States","20160217 16:30:00","4-Week Bill Auction","","","","1"
"United States","20160217 19:00:00","FOMC Minutes","","","","3"
"United States","20160217 21:30:00","API Weekly Crude Oil Stock","","","","2"
"New Zealand","20160217 21:45:00","Producer Price Index - Input (QoQ)","","","","1"
"New Zealand","20160217 21:45:00","Producer Price Index - Output (QoQ)","","","","1"
"Japan","20160217 23:50:00","Merchandise Trade Balance Total","","","","2"
"Japan","20160217 23:50:00","Exports (YoY)","","","","2"
"Japan","20160217 23:50:00","Imports (YoY)","","","","2"
"Japan","20160217 23:50:00","Adjusted Merchandise Trade Balance","","","","2"
"Japan","20160217 23:50:00","Foreign investment in Japan stocks","","","","2"
"Japan","20160217 23:50:00","Foreign bond investment","","","","2"
