"country","date","name","actual","consensus","previous","volatility"
"European Monetary Union","20130617 09:00:00","Labour cost","","","1.300  %","2"
"Poland","20130617 12:00:00","Current Account","","","€ -200.000 ","1"
"Canada","20130617 12:30:00","Canadian portfolio investment in foreign securities","","","$ 3.810 ","1"
"Canada","20130617 12:30:00","Foreign portfolio investment in Canadian securities","","","$ 1.190 ","1"
"United States","20130617 12:30:00","NY Empire State Manufacturing Index",""," -0.500 "," -1.430 ","1"
"United States","20130617 14:00:00","NAHB Housing Market Index",""," 45.000 "," 44.000 ","1"
"Korea, Republic of","20130617 21:00:00","Producer Price Index Growth","","","-0.300  %","1"
"Korea, Republic of","20130617 21:00:00","Producer Price Index Growth (YoY)","","","-2.800  %","1"
