##Numeric_Id	Symbol
107447366		CTN3
107989318		CHU3
119915334		RNZ3
107446598		CUU3
88612678		GZU3
111831110		CBU3
119911494		FSZ3
111841094		C4U3
107993926		RNU3
111838022		UPU3
115259718		CBV3
115265862		P4U3
114611526		RRH4
108082246		UKU3
121294406		PTZ3
107005254		SAN3
107442758		BRN3
119916102		SNZ3
111837254		CPU3
116630086		P5N3
120028998		1BV3
101407558		GZH4
98932294		SiN3
119118918		QBQ3
84584774		SiU4
118899270		3BQ3
119918406		TTZ3
88900166		GDU3
115263558		WBN3
115262790		QBN3
119473734		VXQ3
121300550		CFZ3
115262022		UPV3
101403718		UBN3
79658310		SiZ3
107992390		MTU3
104804934		RGN3
101404486		CPN3
107610182		MXM4
111838790		QBM3
114609990		RRU3
121290566		RcU3
121292870		RoZ3
104806470		R1N3
114498630		P3N3
123555398		RIU3RIZ3
115699270		GDM4
119115846		CBX3
121302086		JPZ3
119914566		RTZ3
123447110		4BZ3
108083782		LKZ3
79719750		MPU3
101402950		CBN3
114827334		2BN3
84443462		RIU3
122860358		P5Q3
119123526		R2X3
115697734		SAV3
107613254		GUU3
98052422		UPM3
107996230		SRH4
111834950		RGU3
115261254		CPV3
119124294		R1X3
119121222		W4X3
101408326		MXH4
119800646		OVU3
121295942		CUZ3
101406022		UPN3
84584518		MPZ3
110398022		4BU3
119916870		SGZ3
98051910		UBM3
119920710		VBZ3
119116614		UBX3
118252614		OXU3
114610758		RRZ3
57629510		RIM5
111836486		R1U3
88904006		4BM3
123556166		SiU3SiZ3
121299782		CFU3
114497862		P2N3
107990854		GMU3
106844230		SON3
83469894		C1Z3
119582022		YAU3
119122758		RGX3
104802374		W3N3
111835718		R2U3
88181062		RIZ4
107611718		AUU3
108079174		SNU3
119910726		GMZ3
108080710		TNU3
115700038		SRM4
119913798		NKZ3
98054726		C3M3
118898502		2BQ3
107994694		RTU3
106840390		UBQ3
121293638		PDZ3
107995462		SRZ3
98052166		CPM3
123338822		RRM4
106841158		CPQ3
119120454		W3X3
107444294		PDU3
85905478		RIZ3
107993158		NKU3
106839622		CBQ3
121296710		EuZ3
119919942		UKZ3
88612934		LKU3
107991622		HYU3
98051654		CBM3
114497094		P1N3
108078406		SGU3
107612486		EDU3
104803142		W4N3
87185478		SRU3
104804166		W5N3
45187910		SiU5
87497798		MXZ3
104805702		R2N3
115264326		VXN3
118251078		O4U3
107607622		RSU3
119118150		UPX3
111839558		WBM3
119119686		WBQ3
101409350		GDH4
111840326		C3U3
121289798		RSZ3
120029766		BRV3
115260486		UBV3
108083014		VBU3
121292102		RoU3
119582790		YAZ3
113713990		BRQ3
117694790		BRU3
119007558		DSN3
119117382		CPX3
107990086		FSU3
121295174		SVZ3
121291334		RcZ3
114281030		1BQ3
111834182		W5U3
115265094		P3Q3
111832646		W3U3
76299078		RIM4
79658822		SiM4
107610950		EuU3
121297478		AUZ3
119121990		W5X3
79658566		SiH4
98055494		C4M3
111833414		W4U3
121301318		JPU3
107606854		RIU4
108081478		TTU3
111831878		UBU3
98059334		RIH5
83469382		C2Z3
78310214		SiU3
119917638		SPZ3
114499398		P4N3
96366662		GDZ3
119912262		HYZ3
121298246		EDZ3
122968646		UUU3
103171910		SiQ3
98058566		RIH4
107445062		PTU3
121299014		GUZ3
106841926		UPQ3
108084806		GZZ3
114828102		3BN3
116630854		P1V3
115698502		GZM4
115266630		P2U3
108079942		SPU3
89002822		MPH4
119909702		CHZ3
111511366		3BM3
111512134		2BM3
122969414		UUZ3
115151430		DSM3
107445830		SVU3
119913030		MTZ3
106844998		CNN3
85635142		MXU3
118250310		O2U3
118251846		O6U3
119919174		TNZ3
