"country","date","name","actual","consensus","previous","volatility"
"United Kingdom","20160308 00:01:00","BRC Retail Sales Monitor - All (YoY)","","","","2"
"Australia","20160308 00:30:00","National Australia Bank's Business Confidence","","","","1"
"Australia","20160308 00:30:00","National Australia Bank's Business Conditions","","","","1"
"China","20160308 01:00:00","Foreign Exchange Reserves (MoM)","","","","1"
"China","20160308 02:00:00","Trade Balance USD","","","","2"
"China","20160308 02:00:00","Exports (YoY)","","","","1"
"China","20160308 02:00:00","Imports (YoY)","","","","1"
"China","20160308 02:00:00","Trade Balance CNY","","","","1"
"Japan","20160308 05:00:00","Eco Watchers Survey: Current","","","","2"
"Japan","20160308 05:00:00","Eco Watchers Survey: Outlook","","","","2"
"Japan","20160308 05:00:00","Consumer Confidence Index","","","","1"
"Switzerland","20160308 06:45:00","Unemployment Rate s.a (MoM)","","","","3"
"Germany","20160308 07:00:00","Industrial Production s.a. (MoM)","","","","1"
"Germany","20160308 07:00:00","Industrial Production n.s.a. w.d.a. (YoY)","","","","1"
"France","20160308 07:45:00","Trade Balance EUR","","","","1"
" EUR"","20160308 07:45:00",""Exports","","","","France"
" EUR"","20160308 07:45:00",""Imports","","","","France"
"France","20160308 07:45:00","Budget","","","","1"
"Spain","20160308 08:00:00","Industrial Output Cal Adjusted (YoY)","","","","1"
"Switzerland","20160308 08:15:00","Consumer Price Index (YoY)","","","","2"
"Switzerland","20160308 08:15:00","Consumer Price Index (MoM)","","","","2"
"Spain","20160308 10:00:00","10-y Obligaciones Auction","","","","1"
"Spain","20160308 10:00:00","12-Month Letras Auction","","","","1"
"Spain","20160308 10:00:00","6-Month Letras Auction","","","","1"
"European Monetary Union","20160308 10:00:00","Gross Domestic Product s.a. (QoQ)","","","","3"
"European Monetary Union","20160308 10:00:00","Gross Domestic Product s.a. (YoY)","","","","3"
"United States","20160308 11:00:00","NFIB Business Optimism Index","","","","1"
"Canada","20160308 13:15:00","Housing Starts s.a (YoY)","","","","2"
"Canada","20160308 13:30:00","Building Permits (MoM)","","","","1"
"United States","20160308 13:55:00","Redbook index (MoM)","","","","1"
"United States","20160308 13:55:00","Redbook index (YoY)","","","","1"
"United States","20160308 15:00:00","IBD/TIPP Economic Optimism (MoM)","","","","1"
"United States","20160308 16:30:00","4-Week Bill Auction","","","","1"
"United Kingdom","20160308 17:00:00","MPC Member Weale Speech","","","","1"
"United States","20160308 18:00:00","3-Year Note Auction","","","","1"
"United States","20160308 21:30:00","API Weekly Crude Oil Stock","","","","1"
"New Zealand","20160308 21:45:00","Electronic Card Retail Sales  (MoM)","","","","2"
"New Zealand","20160308 21:45:00","Electronic Card Retail Sales (YoY)","","","","2"
"Australia","20160308 23:30:00","Westpac Consumer Confidence Index","","","","1"
"Australia","20160308 23:30:00","Westpac Consumer Confidence","","","","2"
"Japan","20160308 23:50:00","Money Supply M2+CD (YoY)","","","","1"
