"country","date","name","actual","consensus","previous","volatility"
"Japan","20151223 00:00:00","The Emperor's Birthday","","","","0"
"New Zealand","20151223 02:00:00","M3 Money Supply (YoY)","","","","1"
"France","20151223 07:45:00","Consumer Spending (MoM)","","","","1"
"France","20151223 07:45:00","Gross Domestic Product (QoQ)","","","","2"
"France","20151223 07:45:00","Gross Domestic Product (YoY)","","","","2"
"Switzerland","20151223 08:00:00","KOF Leading Indicator","","","","2"
"Italy","20151223 09:00:00","Industrial Sales s.a. (MoM)","","","","1"
"Italy","20151223 09:00:00","Industrial Sales n.s.a. (YoY)","","","","1"
"Italy","20151223 09:00:00","Industrial Orders s.a (MoM)","","","","1"
"Italy","20151223 09:00:00","Industrial Orders n.s.a (YoY)","","","","1"
"United Kingdom","20151223 09:30:00","Gross Domestic Product (QoQ)","","","","2"
"United Kingdom","20151223 09:30:00","Gross Domestic Product (YoY)","","","","2"
"United Kingdom","20151223 09:30:00","Total Business Investment (YoY)","","","","1"
"United Kingdom","20151223 09:30:00","Total Business Investment (QoQ)","","","","1"
"United Kingdom","20151223 09:30:00","Index of Services (3M/3M)","","","","1"
"United Kingdom","20151223 09:30:00","Current Account","","","","1"
"Italy","20151223 10:00:00","Retail Sales n.s.a (YoY)","","","","1"
"Italy","20151223 10:00:00","Retail Sales s.a. (MoM)","","","","1"
"India","20151223 11:30:00","M3 Money Supply","","","","1"
"United States","20151223 12:00:00","MBA Mortgage Applications","","","","1"
"United States","20151223 13:30:00","Personal Consumption Expenditures - Price Index (YoY)","","","","2"
"United States","20151223 13:30:00","Core Personal Consumption Expenditure - Price Index (MoM)","","","","2"
"United States","20151223 13:30:00","Personal Income (MoM)","","","","2"
"United States","20151223 13:30:00","Personal Consumption Expenditures - Price Index (MoM)","","","","2"
"United States","20151223 13:30:00","Personal Spending","","","","2"
"United States","20151223 13:30:00","Core Personal Consumption Expenditure - Price Index (YoY)","","","","2"
"United States","20151223 13:30:00","Durable Goods Orders ex Transportation","","","","3"
"United States","20151223 13:30:00","Durable Goods Orders","","","","3"
"Canada","20151223 13:30:00","Gross Domestic Product (MoM)","","","","2"
"Canada","20151223 13:30:00","Retail Sales ex Autos (MoM)","","","","1"
"Canada","20151223 13:30:00","Retail Sales (MoM)","","","","1"
"United States","20151223 15:00:00","Reuters/Michigan Consumer Sentiment Index","","","","1"
"United States","20151223 15:00:00","New Home Sales (MoM)","","","","2"
"United States","20151223 15:00:00","New Home Sales Change (MoM)","","","","2"
"United States","20151223 15:30:00","EIA Crude Oil Stocks change","","","","1"
"Australia","20151223 23:00:00","CB Leading Indicator","","","","1"
"Japan","20151223 23:50:00","BoJ Monetary Policy Meeting Minutes","","","","2"
