"country","date","name","actual","consensus","previous","volatility"
"China","20140903 01:00:00","Non-manufacturing PMI","",""," 54.200 ","2"
"Australia","20140903 01:30:00","Gross Domestic Product (YoY)","","3.000  %","3.500  %","2"
"Australia","20140903 01:30:00","Gross Domestic Product (QoQ)","","0.400  %","1.100  %","2"
"Japan","20140903 01:35:00","Markit Services PMI","",""," 50.400 ","2"
"China","20140903 01:45:00","HSBC China Services PMI","",""," 50.000 ","2"
"Australia","20140903 03:20:00","RBA's Governor Glenn Stevens Speech","","","","2"
"Germany","20140903 07:55:00","Markit Services PMI",""," 56.400 "," 56.700 ","2"
"United Kingdom","20140903 08:30:00","Markit Services PMI",""," 58.500 "," 59.100 ","2"
"European Monetary Union","20140903 09:00:00","Retail Sales (YoY)","","0.900  %","2.400  %","2"
"United States","20140903 11:00:00","MBA Mortgage Applications","","","2.800  %","2"
"United States","20140903 12:55:00","Redbook index (YoY)","","","4.000  %","1"
"United States","20140903 12:55:00","Redbook index (MoM)","","","0.500  %","1"
"United States","20140903 13:45:00","ISM New York index","",""," 68.100 ","1"
"Canada","20140903 14:00:00","BoC Interest Rate Decision","","1.000  %","1.000  %","3"
"Canada","20140903 14:00:00","BOC Rate Statement","","","","3"
"United States","20140903 14:00:00","Factory Orders (MoM)","","11.000  %","1.100  %","2"
"United States","20140903 15:30:00","4-Week Bill Auction","","","0.030  %","1"
"United States","20140903 18:00:00","Fed's Beige Book","","","","2"
"United States","20140903 20:00:00","Total Vehicle Sales",""," 16.600 "," 16.500 ","1"
"Brazil","20140903 21:00:00","Interest Rate Decision","","","11.000  %","1"
"Japan","20140903 23:50:00","Foreign bond investment","","","¥ -609.000 ","2"
"Japan","20140903 23:50:00","Foreign investment in Japan stocks","","","¥ 174.600 ","2"
