"country","date","name","actual","consensus","previous","volatility"
"Australia","20140506 01:30:00","Trade Balance",""," 1,200.000 "," 1,200.000 ","2"
"Australia","20140506 04:30:00","RBA Interest Rate Decision","","2.500  %","2.500  %","2"
"Australia","20140506 04:30:00","RBA Rate Statement","","","","2"
"Italy","20140506 07:45:00","Markit Services PMI",""," 50.400 "," 49.500 ","2"
"France","20140506 07:50:00","Markit Services PMI",""," 50.300 "," 51.500 ","2"
"Germany","20140506 07:55:00","Markit Services PMI",""," 55.000 "," 53.000 ","2"
"European Monetary Union","20140506 08:00:00","Markit Services PMI",""," 53.100 "," 52.200 ","2"
"European Monetary Union","20140506 08:00:00","Markit PMI Composite",""," 54.000 "," 53.100 ","2"
"United Kingdom","20140506 08:30:00","Markit Services PMI",""," 57.600 "," 57.600 ","2"
"European Monetary Union","20140506 09:00:00","Retail Sales (YoY)","","1.000  %","0.800  %","2"
"European Monetary Union","20140506 09:00:00","Retail Sales (MoM)","","-0.200  %","0.400  %","2"
"Australia","20140506 09:30:00","Budget Release","","","","2"
"Canada","20140506 12:30:00","International Merchandise Trade","","$ 0.150 ","$ 0.290 ","1"
"Canada","20140506 12:30:00","Exports","","$ 42.430 ","$ 42.350 ","1"
"Canada","20140506 12:30:00","Imports","","","$ 42.060 ","1"
"United States","20140506 12:30:00","Trade Balance","","$ -40.400 ","$ -42.300 ","2"
"United States","20140506 12:55:00","Redbook index (YoY)","","","3.800  %","1"
"United States","20140506 12:55:00","Redbook index (MoM)","","","-0.300  %","1"
"Mexico","20140506 13:00:00","Consumer Confidence","",""," 88.800 ","1"
"Mexico","20140506 13:00:00","Consumer Confidence s.a","",""," 90.400 ","1"
"United States","20140506 14:00:00","IBD/TIPP Economic Optimism (MoM)",""," 47.600 "," 48.000 ","1"
"Canada","20140506 14:00:00","Ivey Purchasing Managers Index","",""," 61.800 ","2"
"Canada","20140506 14:00:00","Ivey Purchasing Managers Index s.a",""," 57.300 "," 55.200 ","2"
"European Monetary Union","20140506 15:00:00","EcoFin Meeting","","","","2"
"United States","20140506 15:30:00","4-Week Bill Auction","","","0.010  %","1"
"United States","20140506 17:00:00","3-Year Note Auction","","","0.895  %","1"
"United States","20140506 21:30:00","FOMC Member Stein Speech","","","","1"
"New Zealand","20140506 22:45:00","Labour cost index (QoQ)","","0.500  %","0.600  %","1"
"New Zealand","20140506 22:45:00","Labour cost index (YoY)","","1.800  %","1.700  %","1"
"New Zealand","20140506 22:45:00","Unemployment Rate","","5.800  %","6.000  %","2"
"New Zealand","20140506 22:45:00","Employment Change","","0.700  %","1.100  %","2"
"United Kingdom","20140506 23:01:00","BRC Shop Price Index (MoM)","","","-1.700  %","1"
"Japan","20140506 23:15:00","Markit Services PMI","",""," 52.200 ","1"
"Australia","20140506 23:30:00","AiG Performance of Construction Index","",""," 46.200 ","2"
"Japan","20140506 23:50:00","BoJ Monetary Policy Meeting Minutes","","","","3"
