"country","date","name","actual","consensus","previous","volatility"
"Australia","20140416 00:30:00","Westpac Leading Index (MoM)","","","-0.100  %","2"
"China","20140416 02:00:00","Gross Domestic Product (QoQ)","","1.400  %","1.800  %","2"
"China","20140416 02:00:00","Gross Domestic Product (YoY)","","7.300  %","7.700  %","2"
"China","20140416 02:00:00","Industrial Production (YoY)","","9.000  %","8.600  %","2"
"China","20140416 02:00:00","Retail Sales (YoY)","","12.100  %","11.800  %","2"
"China","20140416 02:00:00","Urban investment (YTD) (YoY)","","18.100  %","17.900  %","2"
"Japan","20140416 04:30:00","Industrial Production (YoY)","","","10.300  %","2"
"Japan","20140416 06:15:00","Bank of Japan Governor Kuroda Speech","","","","2"
"United Kingdom","20140416 08:30:00","Claimant Count Change",""," -30.000 "," -34.600 ","2"
"United Kingdom","20140416 08:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","1.700  %","1.300  %","2"
"United Kingdom","20140416 08:30:00","Average Earnings including Bonus (3Mo/Yr)","","1.800  %","1.400  %","2"
"United Kingdom","20140416 08:30:00","Claimant Count Rate","","","3.600  %","2"
"United Kingdom","20140416 08:30:00","ILO Unemployment Rate (3M)","","7.100  %","7.200  %","2"
"European Monetary Union","20140416 09:00:00","Consumer Price Index - Core (YoY)","","0.800  %","1.000  %","2"
"European Monetary Union","20140416 09:00:00","Consumer Price Index (MoM)","","1.000  %","0.300  %","2"
"European Monetary Union","20140416 09:00:00","Consumer Price Index (YoY)","","0.500  %","0.700  %","2"
"Switzerland","20140416 09:00:00","ZEW Survey - Expectations",""," 23.000 "," 19.000 ","2"
"Germany","20140416 10:45:00","10-y Bond Auction","","","1.580  %","2"
"Poland","20140416 12:00:00","Corporate Sector Wages","","","4.000  %","1"
"United States","20140416 12:00:00","FOMC Member Stein Speech","","","","1"
"Poland","20140416 12:00:00","Net Inflation","","","0.900  %","1"
"United States","20140416 12:30:00","Building Permits (MoM)",""," 1.008 "," 1.014 ","2"
"United States","20140416 12:30:00","Housing Starts (MoM)",""," 0.973 "," 0.907 ","2"
"Canada","20140416 12:30:00","Foreign portfolio investment in Canadian securities","","","$ 1.090 ","1"
"Canada","20140416 12:30:00","Canadian portfolio investment in foreign securities","","","$ 2.340 ","1"
"United States","20140416 13:15:00","Industrial Production (MoM)","","0.500  %","0.600  %","2"
"United States","20140416 13:15:00","Capacity Utilization","","78.700  %","78.800  %","1"
"Canada","20140416 14:00:00","BoC Interest Rate Decision","","1.000  %","1.000  %","3"
"Canada","20140416 14:00:00","BOC Rate Statement","","","","3"
"Canada","20140416 14:30:00","Bank of Canada Monetary Policy Report","","","","3"
"United States","20140416 14:30:00","EIA Crude Oil Stocks change","",""," 4.030 ","1"
"United States","20140416 15:30:00","Fed's Lockhart speech","","","","1"
"United States","20140416 16:15:00","Fed's Yellen Speech","","","","2"
"United States","20140416 18:00:00","Fed's Beige Book","","","","2"
"Korea, Republic of","20140416 21:00:00","Producer Price Index Growth","","","0.000  %","1"
"Korea, Republic of","20140416 21:00:00","Producer Price Index Growth (YoY)","","","-0.900  %","1"
"Japan","20140416 23:50:00","Foreign bond investment","","","¥ -380.500 ","2"
"Japan","20140416 23:50:00","Foreign investment in Japan stocks","","","¥ 223.600 ","2"
