"country","date","name","actual","consensus","previous","volatility"
"Iceland","20120516 00:00:00","CBI Interest Rate Decision","","","5.000  %","1"
"Russia","20120516 00:00:00","Unemployment Rate","","","6.500  %","1"
"Australia","20120516 00:30:00","Westpac Consumer Confidence","0.800  %","","-1.600  %","2"
"Australia","20120516 01:30:00","Wage Price Index (QoQ)","0.900  %","0.800  %","1.000  %","1"
"Australia","20120516 01:30:00","Wage Price Index (YoY)","3.600  %","3.500  %","3.600  %","1"
"Turkey","20120516 07:00:00","Consumer Confidence","",""," 93.900 ","1"
"Slovakia","20120516 07:00:00","EU Norm Inflation (MoM)","","","0.300  %","1"
"Slovakia","20120516 07:00:00","EU Norm Inflation (YoY)","","","3.900  %","1"
"Czech Republic","20120516 08:00:00","Current Account (MoM)","",""," 18.330 ","1"
"Italy","20120516 08:00:00","Global Trade Balance","",""," -1.113 ","1"
"Austria","20120516 08:00:00","HICP (MoM)","",""," 1.200 ","1"
"Austria","20120516 08:00:00","HICP (YoY)","",""," 2.700 ","1"
"Italy","20120516 08:00:00","Trade Balance EU","","","€ 0.439 ","1"
"United Kingdom","20120516 08:30:00","Claimant Count Change",""," 5.000 "," 3.600 ","3"
"United Kingdom","20120516 08:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","1.400  %","1.600  %","1"
"United Kingdom","20120516 08:30:00","Average Earnings including Bonus (3Mo/Yr)","","1.000  %","1.100  %","2"
"United Kingdom","20120516 08:30:00","Claimant Count Rate","","5.000  %","4.900  %","2"
"United Kingdom","20120516 08:30:00","ILO Unemployment Rate (3M)","","8.300  %","8.300  %","2"
"European Monetary Union","20120516 09:00:00","Consumer Price Index - Core (YoY)","","1.500  %","1.600  %","3"
"European Monetary Union","20120516 09:00:00","Consumer Price Index (MoM)","","0.500  %","1.300  %","2"
"European Monetary Union","20120516 09:00:00","Consumer Price Index (YoY)","","2.600  %","2.700  %","3"
"European Monetary Union","20120516 09:00:00","Trade Balance s.a.","","€ 4.300 ","€ 3.700 ","1"
"European Monetary Union","20120516 09:00:00","Trade Balance n.s.a.","","€ 4.000 ","€ 2.800 ","1"
"Switzerland","20120516 09:00:00","ZEW Survey - Expectations","",""," 2.100 ","2"
"United Kingdom","20120516 09:30:00","Bank of England Quarterly Inflation Report","","","","3"
"Portugal","20120516 10:00:00","Unemployment Rate","","","14.000  %","1"
"India","20120516 10:30:00","M3 Money Supply","","","13.000  %","1"
"United States","20120516 11:00:00","MBA Mortgage Applications","","","1.700  %","1"
"South Africa","20120516 11:00:00","Retail Sales (YoY)","","","7.200  %","1"
"Poland","20120516 12:00:00","Current Account","","","€ -1,585.000 ","1"
"United States","20120516 12:30:00","Building Permits (MoM)",""," 0.730 "," 0.747 ","1"
"United States","20120516 12:30:00","Housing Starts (MoM)",""," 0.680 "," 0.654 ","1"
"Canada","20120516 12:30:00","Manufacturing Shipments (MoM)","","0.300  %","-0.300  %","1"
"United States","20120516 13:15:00","Industrial Production (MoM)","","0.600  %","0.000  %","2"
"United States","20120516 13:15:00","Capacity Utilization","","79.000  %","78.600  %","1"
"United States","20120516 14:30:00","EIA Crude Oil Stocks change",""," 1.533 "," 3.652 ","1"
"United States","20120516 16:30:00","Fed's Bullard speech","","","","1"
"United States","20120516 18:00:00","FOMC Minutes","","","","3"
"Colombia","20120516 19:00:00","Trade Balance","","","","1"
"New Zealand","20120516 22:45:00","Producer Price Index - Output (QoQ)","","0.000  %","0.100  %","1"
"New Zealand","20120516 22:45:00","Producer Price Index - Input (QoQ)","","0.000  %","0.500  %","1"
"Japan","20120516 23:50:00","Gross Domestic Product Annualized","","3.500  %","-0.700  %","3"
"Japan","20120516 23:50:00","Gross Domestic Product (QoQ)","","0.900  %","-0.200  %","3"
"Japan","20120516 23:50:00","Gross Domestic Product Deflator (YoY)","","-1.400  %","-1.800  %","1"
