"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20150731 01:00:00","ANZ Activity Outlook","","","","1"
"Australia","20150731 01:30:00","Producer Price Index (QoQ)","","","","1"
"Australia","20150731 01:30:00","Producer Price Index (YoY)","","","","1"
"Australia","20150731 01:30:00","Private Sector Credit (MoM)","","","","1"
"Australia","20150731 01:30:00","Private Sector Credit (YoY)","","","","1"
"New Zealand","20150731 03:00:00","M3 Money Supply (YoY)","","","","0"
"Japan","20150731 05:00:00","Housing Starts (YoY)","","","","1"
"Japan","20150731 05:00:00","Construction Orders (YoY)","","","","1"
"Japan","20150731 05:00:00","Annualized Housing Starts","","","","1"
"Germany","20150731 06:00:00","Retail Sales (YoY)","","","","1"
"Germany","20150731 06:00:00","Retail Sales (MoM)","","","","1"
"France","20150731 06:45:00","Consumer Spending (MoM)","","","","1"
"France","20150731 06:45:00","Producer Prices (MoM)","","","","1"
"Italy","20150731 08:00:00","Unemployment","","","","2"
"Spain","20150731 08:00:00","Current Account Balance","","","","1"
"Italy","20150731 09:00:00","Consumer Price Index (YoY)","","","","1"
"Italy","20150731 09:00:00","Consumer Price Index (EU Norm) (YoY)","","","","1"
"Italy","20150731 09:00:00","Consumer Price Index (EU Norm) (MoM)","","","","1"
"Italy","20150731 09:00:00","Consumer Price Index (MoM)","","","","1"
"European Monetary Union","20150731 09:00:00","Consumer Price Index - Core (YoY)","","","","3"
"European Monetary Union","20150731 09:00:00","Consumer Price Index (YoY)","","","","3"
"European Monetary Union","20150731 09:00:00","Unemployment Rate","","","","2"
"Italy","20150731 10:00:00","Producer Price Index (MoM)","","","","1"
"Italy","20150731 10:00:00","Producer Price Index (YoY)","","","","1"
" USD"","20150731 11:00:00",""FX Reserves","","","","India"
"United States","20150731 12:30:00","Employment cost index","","","","1"
"Canada","20150731 12:30:00","Gross Domestic Product (MoM)","","","","2"
"United States","20150731 13:45:00","Chicago Purchasing Managers' Index","","","","2"
"United States","20150731 14:00:00","Reuters/Michigan Consumer Sentiment Index","","","","1"
