"country","date","name","actual","consensus","previous","volatility"
"United Kingdom","20161207 00:00:00","UK Supreme Court Hears Government-Parliament Brexit Appeal","","","","0"
"Russia","20161207 00:00:00","Consumer Price Index (MoM)","","","","1"
"United Kingdom","20161207 00:01:00","BRC Shop Price Index (MoM)","","","","1"
"Australia","20161207 00:30:00","Gross Domestic Product (YoY)","","","","2"
"Australia","20161207 00:30:00","Gross Domestic Product (QoQ)","","","","2"
"China","20161207 04:00:00","Foreign Exchange Reserves (MoM)","","","","1"
"Japan","20161207 05:00:00","Coincident Index","","","","1"
"Japan","20161207 05:00:00","Leading Economic Index","","","","1"
"India","20161207 05:30:00","Cash Reserve Ratio","","","","1"
"India","20161207 05:30:00","Reverse Repo Rate","","","","1"
"Germany","20161207 07:00:00","Industrial Production n.s.a. w.d.a. (YoY)","","","","1"
"Germany","20161207 07:00:00","Industrial Production s.a. (MoM)","","","","1"
" EUR"","20161207 07:45:00",""Exports","","","","France"
"France","20161207 07:45:00","Trade Balance EUR","","","","1"
" EUR"","20161207 07:45:00",""Imports","","","","France"
"France","20161207 07:45:00","Budget","","","","1"
"Switzerland","20161207 08:00:00","Foreign Currency Reserves","","","","1"
"United Kingdom","20161207 08:30:00","Halifax House Prices (MoM)","","","","1"
"United Kingdom","20161207 08:30:00","Halifax House Prices (3m/YoY)","","","","1"
"United Kingdom","20161207 09:30:00","Manufacturing Production (YoY)","","","","1"
"United Kingdom","20161207 09:30:00","Manufacturing Production (MoM)","","","","1"
"United Kingdom","20161207 09:30:00","Industrial Production (MoM)","","","","1"
"United Kingdom","20161207 09:30:00","Industrial Production (YoY)","","","","1"
"United Kingdom","20161207 09:35:00","30-y Bond Auction","","","","1"
"Germany","20161207 10:00:00","30-y Bond Auction","","","","1"
"Spain","20161207 10:00:00","12-Month Letras Auction","","","","1"
"Spain","20161207 10:00:00","6-Month Letras Auction","","","","1"
"India","20161207 11:30:00","M3 Money Supply","","","","1"
"United States","20161207 12:00:00","MBA Mortgage Applications","","","","1"
"United States","20161207 15:00:00","JOLTS Job Openings","","","","1"
"United Kingdom","20161207 15:00:00","NIESR GDP Estimate (3M)","","","","3"
"European Monetary Union","20161207 15:00:00","NIESR GDP Estimate (3M)","","","","2"
"Canada","20161207 15:00:00","BoC Interest Rate Decision","","","","3"
"Canada","20161207 15:00:00","BOC Rate Statement","","","","3"
"United States","20161207 15:30:00","EIA Crude Oil Stocks change","","","","2"
"United States","20161207 20:00:00","Consumer Credit Change","","","","2"
"Japan","20161207 23:50:00","Bank lending (YoY)","","","","1"
"Japan","20161207 23:50:00","Gross Domestic Product (QoQ)","","","","1"
"Japan","20161207 23:50:00","Gross Domestic Product Deflator (YoY)","","","","1"
"Japan","20161207 23:50:00","Gross Domestic Product Annualized","","","","1"
"Japan","20161207 23:50:00","Foreign investment in Japan stocks","","","","2"
"Japan","20161207 23:50:00","Foreign bond investment","","","","2"
"Japan","20161207 23:50:00","Current Account n.s.a.","","","","1"
"Japan","20161207 23:50:00","Trade Balance - BOP Basis","","","","1"
