"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20160705 01:00:00","ANZ Commodity Price","","","","1"
"Australia","20160705 01:30:00","Retail Sales s.a. (MoM)","","","","2"
"Australia","20160705 01:30:00","Trade Balance","","","","2"
"Australia","20160705 01:30:00","Imports","","","","2"
"Australia","20160705 01:30:00","Exports","","","","2"
"China","20160705 01:45:00","Caixin China Services PMI","","","","2"
"Australia","20160705 04:30:00","RBA Rate Statement","","","","3"
"Australia","20160705 04:30:00","RBA Interest Rate Decision","","","","3"
"Spain","20160705 07:15:00","Markit Services PMI","","","","2"
"Italy","20160705 07:45:00","Markit Services PMI","","","","1"
"France","20160705 07:50:00","Markit PMI Composite","","","","1"
"France","20160705 07:50:00","Markit Services PMI","","","","1"
"Germany","20160705 07:55:00","Markit Services PMI","","","","1"
"Germany","20160705 07:55:00","Markit PMI Composite","","","","1"
"European Monetary Union","20160705 08:00:00","Markit Services PMI","","","","2"
"European Monetary Union","20160705 08:00:00","Markit PMI Composite","","","","2"
"United Kingdom","20160705 08:30:00","Markit Services PMI","","","","1"
"European Monetary Union","20160705 09:00:00","Retail Sales (MoM)","","","","1"
"European Monetary Union","20160705 09:00:00","Retail Sales (YoY)","","","","1"
"United Kingdom","20160705 09:30:00","Financial Stability Report","","","","2"
"United Kingdom","20160705 10:00:00","BOE's Governor Carney speech","","","","3"
"European Monetary Union","20160705 10:00:00","BOE's Governor Carney speech","","","","2"
"Russia","20160705 11:00:00","Consumer Price Index (MoM)","","","","1"
"United States","20160705 13:45:00","ISM New York index","","","","1"
"United States","20160705 14:00:00","Factory Orders (MoM)","","","","2"
"United States","20160705 14:00:00","IBD/TIPP Economic Optimism (MoM)","","","","1"
"New Zealand","20160705 14:00:00","GDT Price Index","","","","1"
"United States","20160705 15:30:00","3-Month Bill Auction","","","","1"
"United States","20160705 15:30:00","6-Month Bill Auction","","","","1"
"United States","20160705 18:30:00","Fed's William Dudley speech","","","","1"
"United Kingdom","20160705 23:01:00","BRC Shop Price Index (MoM)","","","","1"
