"country","date","name","actual","consensus","previous","volatility"
"Australia","20140213 00:00:00","Consumer Inflation Expectation","","","2.300  %","2"
"Australia","20140213 00:30:00","Employment Change s.a.",""," 15,000.000 "," -22,600.000 ","2"
"Australia","20140213 00:30:00","Fulltime employment","",""," -31,600.000 ","2"
"Australia","20140213 00:30:00","Unemployment Rate s.a.","","5.800  %","5.800  %","2"
"Australia","20140213 01:25:00","RBA Assist Gov Debelle Speech","","","","2"
"China","20140213 02:00:00","New Loans","","¥ 1,100.000 ","¥ 482.500 ","2"
"Germany","20140213 07:00:00","Harmonised Index of Consumer Prices (YoY)","","1.200  %","1.200  %","2"
"Germany","20140213 07:00:00","Consumer Price Index (MoM)","","-0.600  %","0.400  %","2"
"Germany","20140213 07:00:00","Consumer Price Index (YoY)","","1.300  %","1.400  %","2"
"Germany","20140213 07:00:00","Harmonised Index of Consumer Prices (MoM)","","-0.700  %","0.500  %","2"
"European Monetary Union","20140213 09:00:00","ECB Monthly Report","","","","2"
"Australia","20140213 10:05:00","RBA Assistant Governor Kent Speech","","","","2"
"United States","20140213 13:30:00","Initial Jobless Claims",""," 330.000 "," 331.000 ","2"
"United States","20140213 13:30:00","Continuing Jobless Claims",""," 2.960 "," 2.964 ","2"
"Canada","20140213 13:30:00","New Housing Price Index (YoY)","","","1.400  %","2"
"Canada","20140213 13:30:00","New Housing Price Index (MoM)","","0.100  %","0.000  %","1"
"United States","20140213 13:30:00","Retail Sales (MoM)","","0.000  %","0.200  %","3"
"United States","20140213 13:30:00","Retail Sales ex Autos (MoM)","","0.100  %","0.700  %","2"
"United States","20140213 15:00:00","Business Inventories","","0.400  %","0.400  %","2"
"United States","20140213 15:00:00","Fed's Yellen Speech","","","","3"
"United States","20140213 15:30:00","EIA Natural Gas Storage change","",""," -262.000 ","1"
"United States","20140213 18:00:00","30-Year Bond Auction","","","3.899  %","1"
"Argentina","20140213 19:00:00","Consumer Price Index (MoM)","","","1.400  %","1"
"New Zealand","20140213 21:45:00","Food Price Index (MoM)","","","-0.100  %","1"
"Japan","20140213 23:50:00","Foreign bond investment","","","¥ -1,815.800 ","1"
"Japan","20140213 23:50:00","Foreign investment in Japan stocks","","","¥ -751.900 ","1"
