"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20160803 01:00:00","ANZ Commodity Price","","","","1"
"China","20160803 01:45:00","Caixin China Services PMI","","","","2"
"European Monetary Union","20160803 07:00:00","Non-monetary policy's ECB meeting","","","","3"
"Spain","20160803 07:15:00","Markit Services PMI","","","","2"
"Italy","20160803 07:45:00","Markit Services PMI","","","","1"
"France","20160803 07:50:00","Markit PMI Composite","","","","1"
"France","20160803 07:50:00","Markit Services PMI","","","","1"
"Germany","20160803 07:55:00","Markit Services PMI","","","","1"
"Germany","20160803 07:55:00","Markit PMI Composite","","","","1"
"European Monetary Union","20160803 08:00:00","Markit Services PMI","","","","2"
"European Monetary Union","20160803 08:00:00","Markit PMI Composite","","","","2"
"United Kingdom","20160803 08:30:00","Markit Services PMI","","","","1"
"European Monetary Union","20160803 09:00:00","Retail Sales (MoM)","","","","1"
"European Monetary Union","20160803 09:00:00","Retail Sales (YoY)","","","","1"
"United Kingdom","20160803 09:30:00","30-y Bond Auction","","","","1"
"United States","20160803 11:00:00","MBA Mortgage Applications","","","","1"
"United States","20160803 12:15:00","ADP Employment Change","","","","2"
"United States","20160803 13:45:00","Markit PMI Composite","","","","2"
"United States","20160803 13:45:00","Markit Services PMI","","","","2"
"United States","20160803 14:00:00","ISM Non-Manufacturing PMI","","","","2"
"United States","20160803 14:30:00","EIA Crude Oil Stocks change","","","","1"
"Japan","20160803 23:50:00","Foreign bond investment","","","","2"
"Japan","20160803 23:50:00","Foreign investment in Japan stocks","","","","2"
